D3_10_Yeast3;D3_10_Yeast3;D3_10_Yeast3;D3_10_Yeast3;D3_10_Yeast3
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.24630833325785775;0.5043449197860963;0.3753266265;0 days 00:00:00.276770608
BC3NET;0.22797307966363492;0.48462566844919774;0.3562993740;0 days 00:00:21.357060650
C3NET;0.25383267168691714;0.5167112299465241;0.3852719508;0 days 00:00:00.415694182
CLR;0.26192581443617113;0.48930481283422467;0.3756153136;0 days 00:00:00.265807703
CMI2NI;0.23899254510380782;0.5160427807486632;0.3775176629;0 days 00:00:06.107415309
GENIE3_ET;0.2876928890318085;0.5768716577540107;0.4322822733;0 days 00:00:07.803915155
GENIE3_RF;0.3086150976514817;0.5795454545454546;0.4440802760;0 days 00:00:09.470332312
GRNBOOST2;0.31819837685124136;0.606283422459893;0.4622408996;0 days 00:00:04.227709076
GRNVBEM;0.21692849896611768;0.44050802139037426;0.3287182601;0 days 00:00:06.418412571
INFERELATOR;0.31386565610896894;0.5220588235294118;0.4179622398;0 days 00:06:55.144243464
JUMP3;0.31169376816360544;0.5367647058823529;0.4242292370;0 days 00:00:43.272118496
KBOOST;0.17860167432071536;0.3168449197860963;0.2477232970;0 days 00:00:00.321070031
LEAP;0.23122748165363619;0.4832887700534758;0.3572581258;0 days 00:00:00.385292486
LOCPCACMI;0.2960681283513456;0.49866310160427796;0.3973656149;0 days 00:00:07.410003538
MEOMI;0.2692856860917893;0.5023395721925132;0.3858126291;0 days 00:00:14.311743025
MRNETB;0.2229927624569151;0.44852941176470595;0.3357610871;0 days 00:00:00.278667515
MRNET;0.23179722370778985;0.44017379679144375;0.3359855102;0 days 00:00:00.555722920
NARROMI;0.23143396869733354;0.4866310160427807;0.3590324923;0 days 00:00:10.989374279
NONLINEARODES;0.38906319635364695;0.5474598930481283;0.4682615447;0 days 00:00:01.344006311
PCACMI;0.23816564339267637;0.5267379679144385;0.3824518056;0 days 00:00:06.449859174
PCIT;0.35009245388359217;0.5675133689839573;0.4588029114;0 days 00:00:14.165610763
PIDC;0.2483997307234669;0.517379679144385;0.3828897049;0 days 00:00:14.236555410
PLSNET;0.2916881026894085;0.5467914438502673;0.4192397732;0 days 00:00:08.389755052
PUC;0.3184046146629734;0.5200534759358288;0.4192290452;0 days 00:00:09.830040782
RSNET;0.1796338077916882;0.35427807486631013;0.2669559413;0 days 00:00:12.651337742
TIGRESS;0.20127354632249508;0.43048128342245995;0.3158774148;0 days 00:00:08.117931970
