D3_50_Ecoli2;D3_50_Ecoli2;D3_50_Ecoli2;D3_50_Ecoli2;D3_50_Ecoli2
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.04244506027749295;0.5390419001318392;0.2907434802;0 days 00:00:00.301928932
BC3NET;0.0372264584699791;0.5271532012195121;0.2821898298;0 days 00:00:09.845331362
C3NET;0.0391261607824842;0.5209243160843771;0.2800252384;0 days 00:00:00.641037852
CLR;0.06055279375069438;0.6269904622610414;0.3437716280;0 days 00:00:00.306737360
CMI2NI;0.06502940706749992;0.6370200230718523;0.3510247150;0 days 00:00:10.544618379
GENIE3_ET;0.0740919859766428;0.6384620138431114;0.3562769999;0 days 00:00:46.269307221
GENIE3_RF;0.07781537435559475;0.6330493984838497;0.3554323864;0 days 00:01:25.531713550
GRNBOOST2;0.07855489353719514;0.6331832976268952;0.3558690955;0 days 00:00:13.516888427
GRNVBEM;0.06460707895199296;0.5685924110085695;0.3165997449;0 days 00:01:14.998375863
INFERELATOR;0.06063499645015584;0.5591164716545813;0.3098757340;0 days 00:03:39.912545472
KBOOST;0.03786205963341147;0.5279849208965062;0.2829234902;0 days 00:00:02.179089948
LEAP;0.055632221985979564;0.5990930908042187;0.3273626563;0 days 00:00:03.507878354
LOCPCACMI;0.053443039959862444;0.5971798780487803;0.3253114590;0 days 00:00:15.965155919
MEOMI;0.030877781988866725;0.485322593935399;0.2581001879;0 days 00:02:10.048549669
MRNETB;0.05703572905504642;0.6401048533289386;0.3485702911;0 days 00:00:00.623118785
MRNET;0.055708028309068756;0.6237253831575478;0.3397167057;0 days 00:00:00.336646385
NARROMI;0.04692528461132601;0.5465763019116678;0.2967507932;0 days 00:00:11.969716324
NONLINEARODES;0.043119871217674716;0.531126400791035;0.2871231360;0 days 00:00:20.381733541
PCACMI;0.02837265551315482;0.41665808338826626;0.2225153694;0 days 00:00:08.029874493
PCIT;0.06768680155238878;0.5953155899802242;0.3315011957;0 days 00:00:12.886557812
PIDC;0.048066371186999954;0.5756942155570205;0.3118802933;0 days 00:00:11.087141792
PLSNET;0.03271431443174992;0.47220562788398146;0.2524599711;0 days 00:00:30.346348270
PUC;0.06659804096092144;0.5883631344759392;0.3274805877;0 days 00:00:13.918856343
RSNET;0.04976692573717982;0.5979317732366513;0.3238493494;0 days 00:00:11.507510139
TIGRESS;0.02434318913180795;0.3791663233355307;0.2017547562;0 days 00:00:56.275880647
