D3_50_Yeast1;D3_50_Yeast1;D3_50_Yeast1;D3_50_Yeast1
Technique;AUPR;AUROC;Mean
ARACNE;0.0504588763002604;0.5369853492483077;0.2937221127
BC3NET;0.0427796409751729;0.5450687113139704;0.2939241761
C3NET;0.0507823582862617;0.5362684092140476;0.2935253837
CLR;0.0504245210623854;0.5400665495482183;0.2952455353
CMI2NI;0.0506745637647447;0.5000082092370335;0.2753413865
GENIE3_ET;0.0501242536627612;0.5411583780736751;0.2956413158
GENIE3_RF;0.0828454277847996;0.5596236885743838;0.3212345581
GRNBOOST2;0.0751264122960435;0.5594047755868237;0.3172655939
GRNVBEM;0.095156727340786;0.6402466054804866;0.3677016664
INFERELATOR;0.0595599811902931;0.5674936104771756;0.3135267958
KBOOST;0.034748002552649;0.4627984741764767;0.2487732383
LEAP;0.0525055877484679;0.5685608112915319;0.3105331995
LOCPCACMI;0.0611552268905284;0.5225945567285644;0.2918748918
MEOMI;0.0397787364649879;0.4983088971710968;0.2690438168
MRNETB;0.0557354156108702;0.5466914038342608;0.3012134097
MRNET;0.0506557175339263;0.5408956824886029;0.2957757
NARROMI;0.0484427032633333;0.5202138779888463;0.2843282906
NONLINEARODES;0.0322939649483676;0.5095911252674842;0.2709425451
PCACMI;0.0260596997225586;0.4331193458879931;0.2295895228
PCIT;0.0587683098438995;0.5636133777726698;0.3111908438
PIDC;0.0757965691161636;0.5648830731005193;0.3203398211
PLSNET;0.0448505712231662;0.5699728000612957;0.3074116856
PUC;0.0611839281222209;0.5608550741294104;0.3110195011
RSNET;0.0713025803044744;0.4903459372485921;0.2808242587
TIGRESS;0.033005790729024;0.5516607286518791;0.2923332596
BEST_GENECI;0.0794259865166023;0.5877430618265005;0.3335845241715514
MEDIAN_GENECI;0.0603316282781921;0.575051581372694;0.317691604825443
MEAN;0.05901298385789833;0.5788716130056206;0.3189422984317595
MEDIAN;0.05059451252337764;0.5187197968487476;0.2846571546860626
