D4_100_1;D4_100_1;D4_100_1;D4_100_1
Technique;AUPR;AUROC;Mean
ARACNE;0.0317350587823725;0.5567740665083578;0.2942545626
BC3NET;0.0330399597779726;0.562449165139673;0.2977445624
C3NET;0.0290328988807687;0.5345241740211659;0.2817785364
CLR;0.0480217666769516;0.6962818681986462;0.3721518174
CMI2NI;0.0545392639899785;0.7359549708313078;0.3952471174
GENIE3_ET;0.0764296695892904;0.7664179069593509;0.4214237882
GENIE3_RF;0.0640890553635599;0.757261789013126;0.4106754221
GRNBOOST2;0.060539475774003;0.7700365309823866;0.4152880033
GRNVBEM;0.1894582304930199;0.7525125275793726;0.470985379
INFERELATOR;0.0378439355113232;0.6176955564488987;0.3277697459
KBOOST;0.0460572848240926;0.6134955452301709;0.329776415
LEAP;0.0582753941629018;0.6394972841329793;0.3488863391
LOCPCACMI;0.0601684498711551;0.7271877103511462;0.3936780801
MEOMI;0.0211006996981256;0.5185491730862721;0.2698249363
MRNETB;0.0469626053667479;0.6847914368385624;0.3658770211
MRNET;0.0445520983412669;0.6770914162708948;0.3608217573
NARROMI;0.0414269739143504;0.6010637924909314;0.3212453832
NONLINEARODES;0.0253320306692435;0.5948216222280394;0.3100768264
PCACMI;0.0256678312622611;0.5128913115627689;0.2692795714
PCIT;0.0614499708967771;0.6171986018660482;0.3393242863
PIDC;0.0680745435758114;0.7490376435062265;0.4085560935
PLSNET;0.0303686904048186;0.6558345564862945;0.3431016234
PUC;0.0670425657643661;0.7513924077259639;0.4092174867
RSNET;0.0488080861470173;0.6435360261396355;0.3461720561
TIGRESS;0.0257669407222514;0.6554392716240975;0.3406031061
BEST_GENECI;0.1464072180472209;0.7900713090385552;0.468239263542888
MEDIAN_GENECI;0.0750441221396616;0.7764084177854231;0.4257262699625424
MEAN;0.07510066435092569;0.7753256936913353;0.4252131790211305
MEDIAN;0.047289028845092514;0.7165915635166973;0.3819402961808949
