D4_100_4;D4_100_4;D4_100_4;D4_100_4;D4_100_4
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.04185379516329984;0.5524878214851552;0.2971708083;0 days 00:00:00.302137004
BC3NET;0.05999192926388931;0.5536786476480143;0.3068352884;0 days 00:00:07.787282676
C3NET;0.038324613586184116;0.5399925845452334;0.2891585990;0 days 00:00:00.631151866
CLR;0.06210212542607586;0.6653680653146996;0.3637350953;0 days 00:00:00.303600985
CMI2NI;0.05873518180760702;0.653517767498101;0.3561264746;0 days 00:00:22.736920741
GENIE3_ET;0.06881095831294629;0.7096013019112406;0.3892061301;0 days 00:01:05.004906501
GENIE3_RF;0.06806382750522202;0.7134508816613748;0.3907573545;0 days 00:01:39.866403871
GRNBOOST2;0.06677997283115521;0.7013993002275996;0.3840896365;0 days 00:00:17.891686748
GRNVBEM;0.14603855930373183;0.6924699383040032;0.4192542488;0 days 00:02:58.152961364
INFERELATOR;0.052197481330492075;0.6147783752425553;0.3334879282;0 days 00:11:04.671133637
KBOOST;0.03666255070962403;0.5247231555401419;0.2806928531;0 days 00:00:01.087035014
LEAP;0.05266231946223119;0.6385269071928443;0.3455946133;0 days 00:00:01.183368975
LOCPCACMI;0.06727381765734822;0.6496542470843225;0.3584640323;0 days 00:00:13.685328474
MEOMI;0.0251649498423086;0.507695490904573;0.2664302203;0 days 00:03:02.247318330
MRNETB;0.06040387202955163;0.666688515192144;0.3635461936;0 days 00:00:00.684822531
MRNET;0.05678214536757747;0.6622042683866348;0.3594932068;0 days 00:00:00.304601250
NARROMI;0.04847713312942621;0.5915512730271636;0.3200142030;0 days 00:00:12.627877284
NONLINEARODES;0.03102963093991718;0.5724721296784989;0.3017508803;0 days 00:00:31.322071260
PCACMI;0.024794280052594993;0.48927596106201454;0.2570351205;0 days 00:00:10.099974696
PCIT;0.07721927462856651;0.5988344137755277;0.3380268442;0 days 00:00:12.109122097
PIDC;0.05547969168365579;0.6652259683747486;0.3603528300;0 days 00:00:10.652404880
PLSNET;0.03569915091094543;0.615652968456436;0.3256760596;0 days 00:01:03.632768682
PUC;0.055823620655551784;0.6562491592801529;0.3560363899;0 days 00:00:14.202346180
RSNET;0.056612464270222124;0.6126730904592543;0.3346427773;0 days 00:00:10.819437928
TIGRESS;0.041958693897370794;0.6204554047952948;0.3312070493;0 days 00:01:54.126269508
