gnw1565_exp;gnw1565_exp;gnw1565_exp;gnw1565_exp;gnw1565_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.367394186506896;0.698278003271693;0.5328360948;0 days 00:00:15.516103989
BC3NET;0.248779950296259;0.648337647933521;0.4485587991;0 days 00:44:23.503883466
C3NET;0.275237443444729;0.655312246817042;0.4652748451;0 days 00:00:37.177782761
CLR;0.300400577340596;0.852782140705595;0.5765913590;0 days 00:00:09.571108659
KBOOST;0.336914232126686;0.707389513105602;0.5221518726;0 days 00:11:31.585405361
LEAP;0.0705787516884891;0.691155044405192;0.3808668980;0 days 00:02:01.555830590
MRNETB;0.134501531405521;0.85197560339891;0.4932385674;0 days 00:00:42.288906920
MRNET;0.31293708584879;0.855065853534519;0.5840014696;0 days 00:00:17.279350282
NARROMI;0.0836726364294274;0.581526078958167;0.3325993576;0 days 00:17:37.910600926
PCIT;0.00296394223903313;0.5;0.2514819711;0 days 00:04:38.897398616
PIDC;0.0779572664797399;0.856376678195672;0.4671669723;0 days 00:28:48.648362151
PUC;0.186354632943194;0.847562948961012;0.5169587909;0 days 00:27:30.740794431
RSNET;0.109000194060486;0.799656262576048;0.4543282283;0 days 00:10:29.486017522
