gnw2000_exp;gnw2000_exp;gnw2000_exp;gnw2000_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.383541662516096;0.698985655990178;0.5412636592
BC3NET;0.209029869847871;0.634243907912411;0.4216368888
C3NET;0.318312903117521;0.662001125474409;0.4901570142
CLR;0.178186960338801;0.815006809661959;0.496596885
KBOOST;0.395908577247842;0.799709314776736;0.597808946
LEAP;0.0504944329557668;0.705183872126308;0.3778391525
MRNETB;0.0732858161336646;0.820509645653054;0.4468977308
MRNET;0.271465969230271;0.827044475626261;0.5492552224
NARROMI;0.0196217421448585;0.549027657610347;0.2843246998
PCIT;0.0025967016491754;0.5;0.2512983508
RSNET;0.056390457407635;0.803059424282229;0.4297249408
BEST_GENECI;0.348638241842823;0.875032174652151;0.6118352082474869
MEDIAN_GENECI;0.158997201044357;0.871065655001314;0.5150314280228355
MEAN;0.271082682874667;0.872504688431403;0.571793685653035
MEDIAN;0.357502818911643;0.741422072551708;0.5494624457316755
