rogers1000_exp;rogers1000_exp;rogers1000_exp;rogers1000_exp;rogers1000_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.212547055712514;0.832948877245129;0.5227479664;0 days 00:00:03.567612101
BC3NET;0.512233191470725;0.988899170494087;0.7505661809;0 days 00:12:31.823504798
C3NET;0.13888946017753;0.649528242587554;0.3942088513;0 days 00:00:15.142607310
CLR;0.216146772521838;0.929569761181488;0.5728582668;0 days 00:00:02.181569054
KBOOST;0.00770051623703053;0.565900053779479;0.2868002850;0 days 00:04:44.587861115
LEAP;0.00822552598132519;0.745123215027438;0.3766743705;0 days 00:00:37.677718303
MRNETB;0.216109081428174;0.930443843444084;0.5732764624;0 days 00:00:09.426986245
MRNET;0.21543237259058;0.929872658196324;0.5726525153;0 days 00:00:03.584760427
NARROMI;0.178668327988997;0.592435057770388;0.3855516928;0 days 00:01:14.249711740
PCIT;0.00133866133866134;0.5;0.2506693306;0 days 00:01:06.574560441
PIDC;0.119920849451562;0.928404170850925;0.5241625101;0 days 00:05:49.840743735
PUC;0.119450282856585;0.923177450482417;0.5213138666;0 days 00:05:39.471263907
RSNET;0.500311937306896;0.9950492137476;0.7476805755;0 days 00:00:54.299562653
