rogers1000_exp;rogers1000_exp;rogers1000_exp;rogers1000_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.212547055712514;0.832948877245129;0.5227479664
BC3NET;0.512233191470725;0.988899170494087;0.7505661809
C3NET;0.13888946017753;0.649528242587554;0.3942088513
CLR;0.216146772521838;0.929569761181488;0.5728582668
KBOOST;0.0077005162370305;0.565900053779479;0.286800285
LEAP;0.0082255259813251;0.745123215027438;0.3766743705
MRNETB;0.216109081428174;0.930443843444084;0.5732764624
MRNET;0.21543237259058;0.929872658196324;0.5726525153
NARROMI;0.178668327988997;0.592435057770388;0.3855516928
PCIT;0.0013386613386613;0.5;0.2506693306
PIDC;0.119920849451562;0.928404170850925;0.5241625101
PUC;0.119450282856585;0.923177450482417;0.5213138666
RSNET;0.500311937306896;0.9950492137476;0.7476805755
BEST_GENECI;0.419860904598162;0.996635046960743;0.7082479757794525
MEDIAN_GENECI;0.312688372651878;0.993749767458249;0.6532190700550635
MEAN;0.380597650478232;0.984426690149275;0.6825121703137536
MEDIAN;0.279531218829761;0.959458447215337;0.619494833022549
