sim_BioGrid_Bos_taurus_mixed_exp;sim_BioGrid_Bos_taurus_mixed_exp;sim_BioGrid_Bos_taurus_mixed_exp;sim_BioGrid_Bos_taurus_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.312982455698759;0.853170290068195;0.5830763728
BC3NET;0.28116146200873;0.773071843446367;0.5271166527
C3NET;0.287247075454918;0.806809457899636;0.5470282666
CLR;0.368037777253966;0.905308561145992;0.6366731691
KBOOST;0.0817961268605563;0.684985608475489;0.3833908676
LEAP;0.144021771472004;0.674978585773127;0.4095001786
MRNETB;0.267909775442128;0.901593575125145;0.5847516752
MRNET;0.320997181996834;0.901902791979284;0.6114499869
NARROMI;0.0945582565440338;0.552720433413797;0.3236393449
PCIT;0.0017362476085646;0.5;0.2508681238
PIDC;0.21557444403037;0.879539713932925;0.5475570789
PUC;0.205119812348151;0.875431377325179;0.5402755948
RSNET;0.295127532032838;0.894039792506451;0.5945836622
BEST_GENECI;0.356090990837671;0.904231193652597;0.630161092245134
MEDIAN_GENECI;0.339975766697106;0.902778493614864;0.621377130155985
MEAN;0.306596220779791;0.89709239565541;0.6018443082176005
MEDIAN;0.337687913671845;0.900507427705855;0.61909767068885
