sim_BioGrid_Bos_taurus_mixed_exp;sim_BioGrid_Bos_taurus_mixed_exp;sim_BioGrid_Bos_taurus_mixed_exp;sim_BioGrid_Bos_taurus_mixed_exp;sim_BioGrid_Bos_taurus_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.312982455698759;0.853170290068195;0.5830763728;0 days 00:00:02.682236289
BC3NET;0.28116146200873;0.773071843446367;0.5271166527;0 days 00:06:12.011293665
C3NET;0.287247075454918;0.806809457899636;0.5470282666;0 days 00:00:12.822568967
CLR;0.368037777253966;0.905308561145992;0.6366731691;0 days 00:00:02.600478596
KBOOST;0.0817961268605563;0.684985608475489;0.3833908676;0 days 00:03:48.586158753
LEAP;0.144021771472004;0.674978585773127;0.4095001786;0 days 00:01:04.324634840
MRNETB;0.267909775442128;0.901593575125145;0.5847516752;0 days 00:00:03.741860352
MRNET;0.320997181996834;0.901902791979284;0.6114499869;0 days 00:00:02.740734443
NARROMI;0.0945582565440338;0.552720433413797;0.3236393449;0 days 00:00:43.030477187
PCIT;0.00173624760856461;0.5;0.2508681238;0 days 00:00:18.190646563
PIDC;0.21557444403037;0.879539713932925;0.5475570789;0 days 00:01:28.575108571
PUC;0.205119812348151;0.875431377325179;0.5402755948;0 days 00:01:26.057464733
RSNET;0.295127532032838;0.894039792506451;0.5945836622;0 days 00:00:33.350508771
