sim_BioGrid_Canis_familiaris_mixed_exp;sim_BioGrid_Canis_familiaris_mixed_exp;sim_BioGrid_Canis_familiaris_mixed_exp;sim_BioGrid_Canis_familiaris_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.276332148556137;0.76928340060849;0.5228077745
BC3NET;0.370154428229503;0.91543211377944;0.642793271
C3NET;0.285570707311416;0.774180193079877;0.5298754501
CLR;0.270688109264601;0.959496372217563;0.6150922407
GENIE3_ET;0.210143453106439;0.919894270313942;0.5650188617
GENIE3_RF;0.243987182256797;0.920960767497269;0.5824739748
GRNBOOST2;0.201487649155936;0.875518575663137;0.5385031124
INFERELATOR;0.0887719068290795;0.678433385961999;0.3836026463
KBOOST;0.0413143730656744;0.485217619358325;0.2632659962
LEAP;0.231432714070478;0.794463732221963;0.5129482231
MEOMI;0.0143333735338251;0.523279989086514;0.2688066813
MRNETB;0.218278030388358;0.951292222343248;0.5847851263
MRNET;0.32681700690101;0.959703643856564;0.6432603253
NARROMI;0.187813304204768;0.607492023743178;0.3976526639
PCACMI;0.244438270655135;0.959077070151932;0.6017576704
PCIT;0.0072324851864761;0.5;0.2536162425
PIDC;0.0517866629335132;0.802953938108266;0.4273703005
PLSNET;0.0297359770586186;0.325242513105172;0.177489245
PUC;0.100887263132301;0.857674708312756;0.4792809857
RSNET;0.25200088294351;0.958059218353269;0.6050300506
BEST_GENECI;0.292938156329749;0.962712255147158;0.6278252057384535
MEDIAN_GENECI;0.166380223455811;0.948502515283639;0.557441369369725
MEAN;0.282853843538317;0.929988716385775;0.606421279962046
MEDIAN;0.264455592635332;0.944684910095927;0.6045702513656295
