sim_BioGrid_Chlamydomonas_reinhardtii_mixed_exp;sim_BioGrid_Chlamydomonas_reinhardtii_mixed_exp;sim_BioGrid_Chlamydomonas_reinhardtii_mixed_exp;sim_BioGrid_Chlamydomonas_reinhardtii_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.167826884908625;0.648333333333333;0.4080801091
BC3NET;0.168095501701012;0.562777777777778;0.3654366397
C3NET;0.131586808510683;0.620555555555556;0.376071182
CLR;0.13682006416444;0.69;0.413410032
CMI2NI;0.210486349188674;0.713333333333333;0.4619098412
GENIE3_ET;0.187619622620466;0.695;0.4413098113
GENIE3_RF;0.0990474960839414;0.694444444444444;0.3967459702
GRNBOOST2;0.179634830163642;0.586388888888889;0.3830118595
GRNVBEM;0.0422607870402095;0.424444444444444;0.2333526157
INFERELATOR;0.101860861209893;0.725277777777778;0.4135693194
JUMP3;0.0518443304115801;0.513888888888889;0.2828666096
KBOOST;0.0601739926320368;0.433888888888889;0.2470314407
LEAP;0.0714631570839963;0.644722222222222;0.3580926896
LOCPCACMI;0.215419445585784;0.742777777777778;0.4790986116
MEOMI;0.074902141732819;0.606666666666667;0.3407844041
MRNETB;0.179618801897967;0.737777777777778;0.4586982898
MRNET;0.185387554633816;0.690555555555556;0.437971555
NARROMI;0.185186937218276;0.584444444444444;0.3848156908
NONLINEARODES;0.0871143317297689;0.685277777777778;0.3861960547
PCACMI;0.208824486303723;0.712777777777778;0.460801132
PCIT;0.0526315789473684;0.5;0.2763157894
PIDC;0.0550772436067495;0.527222222222222;0.2911497329
PLSNET;0.0552634329809225;0.475;0.2651317164
PUC;0.0587157012056319;0.538055555555556;0.2983856283
RSNET;0.222158328135339;0.717777777777778;0.4699680529
TIGRESS;0.130575969856212;0.680555555555556;0.4055657627
BEST_GENECI;0.265452835144096;0.736111111111111;0.5007819731276035
MEDIAN_GENECI;0.16364256463441;0.724444444444444;0.444043504539427
MEAN;0.22257032283562;0.731666666666667;0.47711849475114354
MEDIAN;0.21634778973751;0.711111111111111;0.4637294504243105
