sim_BioGrid_Chlamydomonas_reinhardtii_mixed_exp;sim_BioGrid_Chlamydomonas_reinhardtii_mixed_exp;sim_BioGrid_Chlamydomonas_reinhardtii_mixed_exp;sim_BioGrid_Chlamydomonas_reinhardtii_mixed_exp;sim_BioGrid_Chlamydomonas_reinhardtii_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.167826884908625;0.648333333333333;0.4080801091;0 days 00:00:00.273209131
BC3NET;0.168095501701012;0.562777777777778;0.3654366397;0 days 00:00:05.319943370
C3NET;0.131586808510683;0.620555555555556;0.3760711820;0 days 00:00:00.370661242
CLR;0.13682006416444;0.69;0.4134100320;0 days 00:00:00.272099691
CMI2NI;0.210486349188674;0.713333333333333;0.4619098412;0 days 00:00:06.010131300
GENIE3_ET;0.187619622620466;0.695;0.4413098113;0 days 00:00:11.659934396
GENIE3_RF;0.0990474960839414;0.694444444444444;0.3967459702;0 days 00:00:14.807382379
GRNBOOST2;0.179634830163642;0.586388888888889;0.3830118595;0 days 00:00:03.486626548
GRNVBEM;0.0422607870402095;0.424444444444444;0.2333526157;0 days 00:00:07.743060315
INFERELATOR;0.101860861209893;0.725277777777778;0.4135693194;0 days 00:08:10.128946997
JUMP3;0.0518443304115801;0.513888888888889;0.2828666096;0 days 00:00:52.915867375
KBOOST;0.0601739926320368;0.433888888888889;0.2470314407;0 days 00:00:00.354042726
LEAP;0.0714631570839963;0.644722222222222;0.3580926896;0 days 00:00:00.319353396
LOCPCACMI;0.215419445585784;0.742777777777778;0.4790986116;0 days 00:00:07.391462599
MEOMI;0.074902141732819;0.606666666666667;0.3407844041;0 days 00:00:08.784437789
MRNETB;0.179618801897967;0.737777777777778;0.4586982898;0 days 00:00:00.281334424
MRNET;0.185387554633816;0.690555555555556;0.4379715550;0 days 00:00:00.543651782
NARROMI;0.185186937218276;0.584444444444444;0.3848156908;0 days 00:00:10.761560336
NONLINEARODES;0.0871143317297689;0.685277777777778;0.3861960547;0 days 00:00:01.761300394
PCACMI;0.208824486303723;0.712777777777778;0.4608011320;0 days 00:00:06.512144770
PCIT;0.0526315789473684;0.5;0.2763157894;0 days 00:00:14.393956987
PIDC;0.0550772436067495;0.527222222222222;0.2911497329;0 days 00:00:09.534730818
PLSNET;0.0552634329809225;0.475;0.2651317164;0 days 00:00:09.795129699
PUC;0.0587157012056319;0.538055555555556;0.2983856283;0 days 00:00:09.626259525
RSNET;0.222158328135339;0.717777777777778;0.4699680529;0 days 00:00:12.798303261
TIGRESS;0.130575969856212;0.680555555555556;0.4055657627;0 days 00:00:15.239646857
