sim_BioGrid_Chlorocebus_sabaeus_mixed_exp;sim_BioGrid_Chlorocebus_sabaeus_mixed_exp;sim_BioGrid_Chlorocebus_sabaeus_mixed_exp;sim_BioGrid_Chlorocebus_sabaeus_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.327811455389172;0.871297003649945;0.5995542295
BC3NET;0.409176775966025;0.868103301926831;0.6386400389
C3NET;0.269933947058358;0.779326882268059;0.5246304146
CLR;0.357674355022639;0.915796621678975;0.6367354883
CMI2NI;0.391375402917838;0.889483065953654;0.6404292344
GENIE3_ET;0.235961623936573;0.887530769883711;0.5617461969
GENIE3_RF;0.177884917051892;0.867774382480265;0.5228296497
GRNBOOST2;0.0758598448386317;0.805576776165011;0.4407183105
GRNVBEM;0.0197622726714032;0.524223325693914;0.2719927991
INFERELATOR;0.36972243852695;0.902480689245395;0.6361015638
KBOOST;0.299608639076401;0.655058993294287;0.4773338161
LEAP;0.0584002804666698;0.709723283252695;0.3840617818
LOCPCACMI;0.389053912510866;0.893472540531364;0.6412632265
MEOMI;0.0181647156021695;0.51144851880146;0.2648066172
MRNETB;0.324881269890381;0.890713861302097;0.6077975655
MRNET;0.328629549426576;0.905547067311773;0.6170883083
NARROMI;0.118580836929934;0.552754435107376;0.335667636
NONLINEARODES;0.02522156042919;0.651812240047534;0.3385169002
PCACMI;0.392088020740347;0.889525507172566;0.6408067639
PCIT;0.016364699006429;0.5;0.2581823495
PIDC;0.0714049852730816;0.791380188439012;0.4313925868
PLSNET;0.168897280531499;0.714115949410067;0.4415066149
PUC;0.0699596228281268;0.781809693574399;0.4258846582
RSNET;0.379154182367527;0.889313301078007;0.6342337417
TIGRESS;0.416814442843668;0.900560224089636;0.6586873334
BEST_GENECI;0.422656992930838;0.899562855445208;0.661109924188023
MEDIAN_GENECI;0.184140144507439;0.88023088023088;0.5321855123691596
MEAN;0.412775251266244;0.902257872846108;0.657516562056176
MEDIAN;0.365085419949967;0.880952380952381;0.623018900451174
