sim_BioGrid_Chlorocebus_sabaeus_mixed_exp;sim_BioGrid_Chlorocebus_sabaeus_mixed_exp;sim_BioGrid_Chlorocebus_sabaeus_mixed_exp;sim_BioGrid_Chlorocebus_sabaeus_mixed_exp;sim_BioGrid_Chlorocebus_sabaeus_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.327811455389172;0.871297003649945;0.5995542295;0 days 00:00:00.370013395
BC3NET;0.409176775966025;0.868103301926831;0.6386400389;0 days 00:00:06.312233180
C3NET;0.269933947058358;0.779326882268059;0.5246304146;0 days 00:00:00.471548470
CLR;0.357674355022639;0.915796621678975;0.6367354883;0 days 00:00:00.298218463
CMI2NI;0.391375402917838;0.889483065953654;0.6404292344;0 days 00:00:05.135964281
GENIE3_ET;0.235961623936573;0.887530769883711;0.5617461969;0 days 00:00:35.373400331
GENIE3_RF;0.177884917051892;0.867774382480265;0.5228296497;0 days 00:00:49.866975380
GRNBOOST2;0.0758598448386317;0.805576776165011;0.4407183105;0 days 00:00:04.472982650
GRNVBEM;0.0197622726714032;0.524223325693914;0.2719927991;0 days 00:01:09.384248863
INFERELATOR;0.36972243852695;0.902480689245395;0.6361015638;0 days 00:08:26.099579936
KBOOST;0.299608639076401;0.655058993294287;0.4773338161;0 days 00:00:00.643483631
LEAP;0.0584002804666698;0.709723283252695;0.3840617818;0 days 00:00:00.712462544
LOCPCACMI;0.389053912510866;0.893472540531364;0.6412632265;0 days 00:00:07.799738025
MEOMI;0.0181647156021695;0.51144851880146;0.2648066172;0 days 00:00:38.985952179
MRNETB;0.324881269890381;0.890713861302097;0.6077975655;0 days 00:00:00.602800916
MRNET;0.328629549426576;0.905547067311773;0.6170883083;0 days 00:00:00.282172720
NARROMI;0.118580836929934;0.552754435107376;0.3356676360;0 days 00:00:08.074261668
NONLINEARODES;0.02522156042919;0.651812240047534;0.3385169002;0 days 00:00:10.640952100
PCACMI;0.392088020740347;0.889525507172566;0.6408067639;0 days 00:00:06.501183142
PCIT;0.016364699006429;0.5;0.2581823495;0 days 00:00:12.667725979
PIDC;0.0714049852730816;0.791380188439012;0.4313925868;0 days 00:00:10.666211687
PLSNET;0.168897280531499;0.714115949410067;0.4415066149;0 days 00:00:19.448914600
PUC;0.0699596228281268;0.781809693574399;0.4258846582;0 days 00:00:13.667104710
RSNET;0.379154182367527;0.889313301078007;0.6342337417;0 days 00:00:08.167839407
TIGRESS;0.416814442843668;0.900560224089636;0.6586873334;0 days 00:00:53.512766329
