sim_BioGrid_Cricetulus_griseus_mixed_exp;sim_BioGrid_Cricetulus_griseus_mixed_exp;sim_BioGrid_Cricetulus_griseus_mixed_exp;sim_BioGrid_Cricetulus_griseus_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.125615942182214;0.717517921146953;0.4215669316
BC3NET;0.13922648356298;0.760715352449223;0.449970918
C3NET;0.120312719832708;0.676809538032656;0.3985611289
CLR;0.237266777390728;0.883817453205894;0.5605421152
CMI2NI;0.0817549168633551;0.843040621266428;0.462397769
GENIE3_ET;0.157364097212051;0.90712116686579;0.532242632
GENIE3_RF;0.201306296367538;0.872896754281163;0.5371015253
GRNBOOST2;0.134179966317891;0.792631172839506;0.4634055695
GRNVBEM;0.0097905913309291;0.493204898446834;0.2514977448
INFERELATOR;0.108062999765747;0.749184836718439;0.4286239182
KBOOST;0.0272154562271648;0.568374153723616;0.2977948049
LEAP;0.0393676708325166;0.644203006770211;0.3417853388
LOCPCACMI;0.114152095445149;0.83638863998407;0.4752703677
MEOMI;0.0114845757852609;0.508686778176025;0.2600856769
MRNETB;0.186181042210866;0.863774392672242;0.5249777174
MRNET;0.17798932394254;0.86582785742732;0.5219085906
NARROMI;0.132376896446206;0.571591248506571;0.3519840724
NONLINEARODES;0.0153448715653503;0.670630475906014;0.3429876737
PCACMI;0.113838820428845;0.842356133014735;0.4780974767
PCIT;0.0089910089910089;0.5;0.2544955044
PIDC;0.0989275140370783;0.784124850657109;0.4415261823
PLSNET;0.0653925100019767;0.567677220230984;0.3165348651
PUC;0.102688880699514;0.788269115890084;0.4454789982
RSNET;0.127455781648969;0.844384707287933;0.4859202444
TIGRESS;0.137312606994197;0.903431152927121;0.5203718799
BEST_GENECI;0.145641249139844;0.886486957387495;0.5160641032636695
MEDIAN_GENECI;0.132033309280612;0.860140382317802;0.496086845799207
MEAN;0.171759837216193;0.88509309040223;0.5284264638092115
MEDIAN;0.157105640100612;0.852505227001195;0.5048054335509036
