sim_BioGrid_Cricetulus_griseus_mixed_exp;sim_BioGrid_Cricetulus_griseus_mixed_exp;sim_BioGrid_Cricetulus_griseus_mixed_exp;sim_BioGrid_Cricetulus_griseus_mixed_exp;sim_BioGrid_Cricetulus_griseus_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.125615942182214;0.717517921146953;0.4215669316;0 days 00:00:00.344387853
BC3NET;0.13922648356298;0.760715352449223;0.4499709180;0 days 00:00:09.533074708
C3NET;0.120312719832708;0.676809538032656;0.3985611289;0 days 00:00:00.595517895
CLR;0.237266777390728;0.883817453205894;0.5605421152;0 days 00:00:00.299404418
CMI2NI;0.0817549168633551;0.843040621266428;0.4623977690;0 days 00:00:06.287822536
GENIE3_ET;0.157364097212051;0.90712116686579;0.5322426320;0 days 00:00:51.439459666
GENIE3_RF;0.201306296367538;0.872896754281163;0.5371015253;0 days 00:01:16.050289323
GRNBOOST2;0.134179966317891;0.792631172839506;0.4634055695;0 days 00:00:06.082166180
GRNVBEM;0.00979059133092918;0.493204898446834;0.2514977448;0 days 00:02:50.412394054
INFERELATOR;0.108062999765747;0.749184836718439;0.4286239182;0 days 00:04:48.486150473
KBOOST;0.0272154562271648;0.568374153723616;0.2977948049;0 days 00:00:00.964261532
LEAP;0.0393676708325166;0.644203006770211;0.3417853388;0 days 00:00:01.058134683
LOCPCACMI;0.114152095445149;0.83638863998407;0.4752703677;0 days 00:00:07.199109822
MEOMI;0.0114845757852609;0.508686778176025;0.2600856769;0 days 00:01:39.667805772
MRNETB;0.186181042210866;0.863774392672242;0.5249777174;0 days 00:00:00.604770974
MRNET;0.17798932394254;0.86582785742732;0.5219085906;0 days 00:00:00.303472562
NARROMI;0.132376896446206;0.571591248506571;0.3519840724;0 days 00:00:08.532241803
NONLINEARODES;0.0153448715653503;0.670630475906014;0.3429876737;0 days 00:00:22.868981825
PCACMI;0.113838820428845;0.842356133014735;0.4780974767;0 days 00:00:06.828608124
PCIT;0.00899100899100899;0.5;0.2544955044;0 days 00:00:13.701465985
PIDC;0.0989275140370783;0.784124850657109;0.4415261823;0 days 00:00:11.957079288
PLSNET;0.0653925100019767;0.567677220230984;0.3165348651;0 days 00:00:52.794751176
PUC;0.102688880699514;0.788269115890084;0.4454789982;0 days 00:00:13.959813889
RSNET;0.127455781648969;0.844384707287933;0.4859202444;0 days 00:00:10.844473691
TIGRESS;0.137312606994197;0.903431152927121;0.5203718799;0 days 00:01:21.685529647
