sim_BioGrid_Danio_rerio_mixed_exp;sim_BioGrid_Danio_rerio_mixed_exp;sim_BioGrid_Danio_rerio_mixed_exp;sim_BioGrid_Danio_rerio_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.110381939334246;0.803036890969684;0.4567094151
BC3NET;0.187022225871433;0.795211650166621;0.491116938
C3NET;0.0949750139398382;0.753574057847104;0.4242745358
CLR;0.265184517293926;0.874108680118948;0.5696465987
KBOOST;0.0210643521650911;0.670253984336714;0.3456591682
LEAP;0.0140082192095054;0.662162759118732;0.3380854891
MRNETB;0.0204134287142323;0.845711778184856;0.4330626034
MRNET;0.0572303551244564;0.85830868385189;0.4577695194
NARROMI;0.0898613632940484;0.548460799260267;0.3191610812
PCIT;0.0011515014675999;0.5;0.2505757507
PIDC;0.115787234701027;0.844253960993515;0.4800205978
PUC;0.032084549849065;0.835724730704938;0.4339046402
RSNET;0.0244300087471006;0.82643834852094;0.4254341786
BEST_GENECI;0.260909170131268;0.886936309167558;0.573922739649413
MEDIAN_GENECI;0.108834831572664;0.873473907647906;0.491154369610285
MEAN;0.102116964153522;0.877525282185529;0.48982112316952553
MEDIAN;0.0465450814947836;0.872783929005948;0.45966450525036584
