sim_BioGrid_Danio_rerio_mixed_exp;sim_BioGrid_Danio_rerio_mixed_exp;sim_BioGrid_Danio_rerio_mixed_exp;sim_BioGrid_Danio_rerio_mixed_exp;sim_BioGrid_Danio_rerio_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.110381939334246;0.803036890969684;0.4567094151;0 days 00:00:02.209347465
BC3NET;0.187022225871433;0.795211650166621;0.4911169380;0 days 00:05:06.174927235
C3NET;0.0949750139398382;0.753574057847104;0.4242745358;0 days 00:00:14.509358290
CLR;0.265184517293926;0.874108680118948;0.5696465987;0 days 00:00:02.195202656
KBOOST;0.0210643521650911;0.670253984336714;0.3456591682;0 days 00:03:11.604390823
LEAP;0.0140082192095054;0.662162759118732;0.3380854891;0 days 00:00:52.656672939
MRNETB;0.0204134287142323;0.845711778184856;0.4330626034;0 days 00:00:03.144445999
MRNET;0.0572303551244564;0.85830868385189;0.4577695194;0 days 00:00:02.402223178
NARROMI;0.0898613632940484;0.548460799260267;0.3191610812;0 days 00:01:06.013590277
PCIT;0.00115150146759991;0.5;0.2505757507;0 days 00:00:16.025268968
PIDC;0.115787234701027;0.844253960993515;0.4800205978;0 days 00:00:57.372047137
PUC;0.032084549849065;0.835724730704938;0.4339046402;0 days 00:00:53.582561899
RSNET;0.0244300087471006;0.82643834852094;0.4254341786;0 days 00:00:31.520980476
