sim_BioGrid_Emericella_nidulans_FGSC_A4_mixed_exp;sim_BioGrid_Emericella_nidulans_FGSC_A4_mixed_exp;sim_BioGrid_Emericella_nidulans_FGSC_A4_mixed_exp;sim_BioGrid_Emericella_nidulans_FGSC_A4_mixed_exp;sim_BioGrid_Emericella_nidulans_FGSC_A4_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.102519088490733;0.687851097296083;0.3951850928;0 days 00:00:00.280748591
BC3NET;0.218626990703329;0.810650887573965;0.5146389391;0 days 00:00:06.873543834
C3NET;0.0997678526184523;0.662824882031309;0.3812963673;0 days 00:00:00.519440625
CLR;0.156196677976592;0.87270616433226;0.5144514211;0 days 00:00:00.287099766
CMI2NI;0.262699712433318;0.911654557711033;0.5871771350;0 days 00:00:06.027820369
GENIE3_ET;0.165561674203223;0.889015804059621;0.5272887391;0 days 00:00:40.019391506
GENIE3_RF;0.161667051129285;0.85840011984121;0.5100335854;0 days 00:00:55.793317841
GRNBOOST2;0.0799507516702281;0.750898809077972;0.4154247803;0 days 00:00:05.261555304
GRNVBEM;0.00967240126055344;0.409379447232417;0.2095259242;0 days 00:01:31.267510626
INFERELATOR;0.133855176871187;0.729336753801213;0.4315959653;0 days 00:03:53.560479821
KBOOST;0.0418893533690746;0.559209048011385;0.3005492006;0 days 00:00:00.855473099
LEAP;0.130617647813703;0.693805707437645;0.4122116776;0 days 00:00:00.831394994
LOCPCACMI;0.230473132586864;0.891609242753352;0.5610411876;0 days 00:00:07.631989372
MEOMI;0.0176970645643405;0.499812748108756;0.2587549063;0 days 00:00:44.772394662
MRNETB;0.152386388478194;0.862931615609318;0.5076590020;0 days 00:00:00.589527660
MRNET;0.142735850500402;0.86111527226425;0.5019255613;0 days 00:00:00.292284368
NARROMI;0.231542220520255;0.613455920904801;0.4224990707;0 days 00:00:08.219522320
NONLINEARODES;0.015638067503346;0.612828627069133;0.3142333472;0 days 00:00:13.003621908
PCACMI;0.23183441024972;0.91142985544154;0.5716321328;0 days 00:00:05.435970581
PCIT;0.0125;0.5;0.2562500000;0 days 00:00:12.289045814
PIDC;0.0426860017079656;0.674837090854618;0.3587615462;0 days 00:00:10.331510105
PLSNET;0.0793352771137046;0.464365965096247;0.2718506211;0 days 00:00:23.594953440
PUC;0.045308575248485;0.680829151374429;0.3630688633;0 days 00:00:13.512046481
RSNET;0.25045690016197;0.90922028312486;0.5798385916;0 days 00:00:08.261144494
TIGRESS;0.256687924727286;0.926541083064939;0.5916145038;0 days 00:01:01.311038810
