sim_BioGrid_Gallus_gallus_mixed_exp;sim_BioGrid_Gallus_gallus_mixed_exp;sim_BioGrid_Gallus_gallus_mixed_exp;sim_BioGrid_Gallus_gallus_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.196636352587291;0.74337100281971;0.4700036777
BC3NET;0.135167903931593;0.66312802046768;0.3991479621
C3NET;0.177243232600042;0.70439967669912;0.4408214546
CLR;0.205194765447729;0.804236274886287;0.5047155201
KBOOST;0.0242494685562447;0.485289156811452;0.2547693126
LEAP;0.105285779046024;0.649835310657926;0.3775605448
MRNETB;0.114587988490447;0.802883453976279;0.4587357212
MRNET;0.175057840719115;0.804496297552625;0.4897770691
NARROMI;0.0948780346510819;0.551159444002025;0.3230187393
PCIT;0.002655721873491;0.5;0.2513278609
PIDC;0.108659278289064;0.766954045689359;0.4378066619
PUC;0.105222792428005;0.778697310777818;0.4419600516
RSNET;0.131382688843276;0.807687061254651;0.469534875
BEST_GENECI;0.217832721691979;0.809979320907574;0.5139060212997765
MEDIAN_GENECI;0.153676184689316;0.804490910313958;0.479083547501637
MEAN;0.159159788868384;0.792484939339901;0.4758223641041425
MEDIAN;0.189458307545305;0.787768900690062;0.4886136041176835
