sim_BioGrid_Gallus_gallus_mixed_exp;sim_BioGrid_Gallus_gallus_mixed_exp;sim_BioGrid_Gallus_gallus_mixed_exp;sim_BioGrid_Gallus_gallus_mixed_exp;sim_BioGrid_Gallus_gallus_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.196636352587291;0.74337100281971;0.4700036777;0 days 00:00:01.714741968
BC3NET;0.135167903931593;0.66312802046768;0.3991479621;0 days 00:03:28.415439615
C3NET;0.177243232600042;0.70439967669912;0.4408214546;0 days 00:00:10.592736421
CLR;0.205194765447729;0.804236274886287;0.5047155201;0 days 00:00:01.676969558
KBOOST;0.0242494685562447;0.485289156811452;0.2547693126;0 days 00:01:52.251669978
LEAP;0.105285779046024;0.649835310657926;0.3775605448;0 days 00:00:35.513775031
MRNETB;0.114587988490447;0.802883453976279;0.4587357212;0 days 00:00:02.289871381
MRNET;0.175057840719115;0.804496297552625;0.4897770691;0 days 00:00:01.824041173
NARROMI;0.0948780346510819;0.551159444002025;0.3230187393;0 days 00:00:28.868048424
PCIT;0.00265572187349107;0.5;0.2513278609;0 days 00:00:13.926356275
PIDC;0.108659278289064;0.766954045689359;0.4378066619;0 days 00:00:45.461996003
PUC;0.105222792428005;0.778697310777818;0.4419600516;0 days 00:00:43.860957911
RSNET;0.131382688843276;0.807687061254651;0.4695348750;0 days 00:00:21.753838006
