sim_BioGrid_Glycine_max_mixed_exp;sim_BioGrid_Glycine_max_mixed_exp;sim_BioGrid_Glycine_max_mixed_exp;sim_BioGrid_Glycine_max_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.0936123246249707;0.740767045454545;0.417189685
BC3NET;0.114880369246522;0.75830078125;0.4365905752
C3NET;0.0590347466201645;0.622159090909091;0.3405969187
CLR;0.0848272593528088;0.771750710227273;0.4282889847
CMI2NI;0.116523295422869;0.785688920454545;0.4511061079
GENIE3_ET;0.0436462869537789;0.693004261363636;0.3683252741
GENIE3_RF;0.045593387700662;0.6826171875;0.3641052876
GRNBOOST2;0.0401634835347974;0.676669034090909;0.3584162588
GRNVBEM;0.0353996869331311;0.615589488636364;0.3254945877
INFERELATOR;0.102732716906716;0.808061079545455;0.4553968982
KBOOST;0.0587911750886496;0.628639914772727;0.3437155449
LEAP;0.0526713876586471;0.667702414772727;0.3601869012
LOCPCACMI;0.121853789076175;0.807572798295455;0.4647132936
MEOMI;0.0353343116082653;0.594992897727273;0.3151636046
MRNETB;0.0957179538426901;0.775168678977273;0.4354433164
MRNET;0.0839211925350603;0.768510298295455;0.4262157454
NARROMI;0.196083893201936;0.587713068181818;0.3918984806
NONLINEARODES;0.0097941663471231;0.46435546875;0.2370748175
PCACMI;0.108184648982859;0.784090909090909;0.446137779
PCIT;0.0106280193236715;0.5;0.2553140096
PIDC;0.0235995704673508;0.654518821022727;0.3390591957
PLSNET;0.0795134301904395;0.689453125;0.3844832775
PUC;0.044101591734648;0.619895241477273;0.3319984166
RSNET;0.193144492048059;0.787508877840909;0.4903266849
TIGRESS;0.132804063369934;0.767001065340909;0.4499025643
BEST_GENECI;0.140240406179752;0.8349609375;0.487600671839876
MEDIAN_GENECI;0.116332623634207;0.752663352272727;0.434497987953467
MEAN;0.123664082235529;0.7568359375;0.4402500098677645
MEDIAN;0.123798552573754;0.794389204545455;0.4590938785596045
