sim_BioGrid_Glycine_max_mixed_exp;sim_BioGrid_Glycine_max_mixed_exp;sim_BioGrid_Glycine_max_mixed_exp;sim_BioGrid_Glycine_max_mixed_exp;sim_BioGrid_Glycine_max_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.0936123246249707;0.740767045454545;0.4171896850;0 days 00:00:00.276699834
BC3NET;0.114880369246522;0.75830078125;0.4365905752;0 days 00:00:05.734616171
C3NET;0.0590347466201645;0.622159090909091;0.3405969187;0 days 00:00:00.432596407
CLR;0.0848272593528088;0.771750710227273;0.4282889847;0 days 00:00:00.283835948
CMI2NI;0.116523295422869;0.785688920454545;0.4511061079;0 days 00:00:05.983845973
GENIE3_ET;0.0436462869537789;0.693004261363636;0.3683252741;0 days 00:00:26.296979407
GENIE3_RF;0.045593387700662;0.6826171875;0.3641052876;0 days 00:00:34.457381848
GRNBOOST2;0.0401634835347974;0.676669034090909;0.3584162588;0 days 00:00:04.417430996
GRNVBEM;0.0353996869331311;0.615589488636364;0.3254945877;0 days 00:00:40.731836986
INFERELATOR;0.102732716906716;0.808061079545455;0.4553968982;0 days 00:02:50.713457251
KBOOST;0.0587911750886496;0.628639914772727;0.3437155449;0 days 00:00:00.500867372
LEAP;0.0526713876586471;0.667702414772727;0.3601869012;0 days 00:00:00.552083470
LOCPCACMI;0.121853789076175;0.807572798295455;0.4647132936;0 days 00:00:07.470092868
MEOMI;0.0353343116082653;0.594992897727273;0.3151636046;0 days 00:00:20.843731802
MRNETB;0.0957179538426901;0.775168678977273;0.4354433164;0 days 00:00:00.824751064
MRNET;0.0839211925350603;0.768510298295455;0.4262157454;0 days 00:00:00.279602769
NARROMI;0.196083893201936;0.587713068181818;0.3918984806;0 days 00:00:07.953874308
NONLINEARODES;0.00979416634712313;0.46435546875;0.2370748175;0 days 00:00:05.418258559
PCACMI;0.108184648982859;0.784090909090909;0.4461377790;0 days 00:00:06.232397439
PCIT;0.0106280193236715;0.5;0.2553140096;0 days 00:00:12.422135655
PIDC;0.0235995704673508;0.654518821022727;0.3390591957;0 days 00:00:10.448968903
PLSNET;0.0795134301904395;0.689453125;0.3844832775;0 days 00:00:15.069672258
PUC;0.044101591734648;0.619895241477273;0.3319984166;0 days 00:00:13.300576884
RSNET;0.193144492048059;0.787508877840909;0.4903266849;0 days 00:00:08.111633271
TIGRESS;0.132804063369934;0.767001065340909;0.4499025643;0 days 00:00:39.117708818
