sim_BioGrid_Human_Herpesvirus_1_mixed_exp;sim_BioGrid_Human_Herpesvirus_1_mixed_exp;sim_BioGrid_Human_Herpesvirus_1_mixed_exp;sim_BioGrid_Human_Herpesvirus_1_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.219773266005071;0.698486019748837;0.4591296428
BC3NET;0.017161916185443;0.510930047694754;0.2640459819
C3NET;0.158003159149827;0.626267119791135;0.3921351394
CLR;0.16535273126309;0.755898397047884;0.4606255641
GENIE3_ET;0.077720515972921;0.809647613074488;0.4436840645
GENIE3_RF;0.0990040236149002;0.781492393634865;0.4402482086
GRNBOOST2;0.0932271750867984;0.734490453756509;0.4138588144
INFERELATOR;0.184080667842622;0.712117493910532;0.4480990808
KBOOST;0.0343127825179444;0.562603739735418;0.2984582611
LEAP;0.065375809267426;0.584881893496303;0.3251288513
MEOMI;0.0484396235889058;0.561535165764793;0.3049873946
MRNETB;0.207180204331618;0.768556467962836;0.4878683361
MRNET;0.209677043978299;0.765748202330771;0.4877126231
NARROMI;0.02205820893433;0.50732851037762;0.2646933596
PCACMI;0.219220896283756;0.786978931170782;0.5030999137
PCIT;0.0066991773804246;0.5;0.2533495886
PIDC;0.0641347495696302;0.752916745671738;0.4085257476
PLSNET;0.0520998777652387;0.621318971426905;0.3367094245
PUC;0.0654005157069432;0.754320058050495;0.4098602868
RSNET;0.224670589342161;0.78771386064964;0.5061922249
BEST_GENECI;0.194931919469303;0.812070637826169;0.503501278647736
MEDIAN_GENECI;0.167463570877574;0.779952159390907;0.4737078651342405
MEAN;0.190935112057709;0.798618383629177;0.494776747843443
MEDIAN;0.215888406929693;0.767491358060705;0.491689882495199
