sim_BioGrid_Human_Herpesvirus_8_mixed_exp;sim_BioGrid_Human_Herpesvirus_8_mixed_exp;sim_BioGrid_Human_Herpesvirus_8_mixed_exp;sim_BioGrid_Human_Herpesvirus_8_mixed_exp;sim_BioGrid_Human_Herpesvirus_8_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.274207235515729;0.759071814310656;0.5166395249;0 days 00:00:08.178284406
BC3NET;0.135990732435675;0.617508257045861;0.3767494947;0 days 00:23:30.030825427
C3NET;0.271195500010032;0.748667374608873;0.5099314373;0 days 00:00:32.195606768
CLR;0.288951818440502;0.794612952872224;0.5417823856;0 days 00:00:07.685630388
KBOOST;0.00831659434712125;0.513538078598158;0.2609273364;0 days 00:23:57.261248710
LEAP;0.0951218310188723;0.625806380209498;0.3604641056;0 days 00:03:36.093995313
MRNETB;0.141385732932902;0.789080761270376;0.4652332471;0 days 00:00:13.079340781
MRNET;0.235378748150213;0.790036521352756;0.5127076347;0 days 00:00:08.475058532
NARROMI;0.0936190446575107;0.545789078076508;0.3197040613;0 days 00:01:53.621958179
PCIT;0.00146105332339076;0.5;0.2507305266;0 days 00:00:52.741367142
PIDC;0.134389195024486;0.805951405205074;0.4701703001;0 days 00:06:23.942825789
PUC;0.12780548935667;0.806061817700814;0.4669336535;0 days 00:06:12.204701854
RSNET;0.155354290649591;0.791780574536174;0.4735674325;0 days 00:01:18.147127323
