sim_BioGrid_Human_Immunodeficiency_Virus_2_mixed_exp;sim_BioGrid_Human_Immunodeficiency_Virus_2_mixed_exp;sim_BioGrid_Human_Immunodeficiency_Virus_2_mixed_exp;sim_BioGrid_Human_Immunodeficiency_Virus_2_mixed_exp;sim_BioGrid_Human_Immunodeficiency_Virus_2_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.0238255118622683;0.686766692739814;0.3552961023;0 days 00:00:00.299006700
BC3NET;0.0799645705775635;0.769145985920501;0.4245552782;0 days 00:00:06.995514859
C3NET;0.0278710309982405;0.701628386546256;0.3647497087;0 days 00:00:00.519396278
CLR;0.0902397007953161;0.745431273554718;0.4178354871;0 days 00:00:00.292877237
CMI2NI;0.0264362740484559;0.82272630306478;0.4245812885;0 days 00:00:05.085639879
GENIE3_ET;0.105747433018306;0.847827632795278;0.4767875329;0 days 00:00:40.230128937
GENIE3_RF;0.0824450555509444;0.83517030505582;0.4588076803;0 days 00:00:55.494547936
GRNBOOST2;0.0201323958010295;0.841641186091161;0.4308867909;0 days 00:00:05.107201555
GRNVBEM;0.0026942527553534;0.417549598236507;0.2101219254;0 days 00:01:53.119564070
INFERELATOR;0.0531935957585159;0.875062220009955;0.4641279078;0 days 00:08:44.107935790
KBOOST;0.0233580877875247;0.733485031643319;0.3784215597;0 days 00:00:00.682645088
LEAP;0.00706489435310265;0.741804735831615;0.3744348150;0 days 00:00:00.772565777
LOCPCACMI;0.0259029232194446;0.752222143212686;0.3890625332;0 days 00:00:07.830612705
MEOMI;0.00301911389574326;0.468641114982578;0.2358301144;0 days 00:01:05.760867331
MRNETB;0.0219507227079329;0.737253786532034;0.3796022546;0 days 00:00:00.592891393
MRNET;0.0242328041764611;0.739173718267795;0.3817032612;0 days 00:00:00.309864162
NARROMI;0.147620384464064;0.569508639692811;0.3585645120;0 days 00:00:08.347984465
NONLINEARODES;0.0131994604352718;0.831792647372538;0.4224960539;0 days 00:00:12.802569210
PCACMI;0.030040318154456;0.823188508853019;0.4266144135;0 days 00:00:05.590641323
PCIT;0.00347222222222222;0.5;0.2517361111;0 days 00:00:13.531244891
PIDC;0.108203503578328;0.860840503448766;0.4845220035;0 days 00:00:11.554013805
PLSNET;0.172182321072308;0.902012372893408;0.5370973469;0 days 00:00:22.427022340
PUC;0.241074783050246;0.819028656758871;0.5300517199;0 days 00:00:13.672956646
RSNET;0.0218832003392818;0.820948588494631;0.4214158944;0 days 00:00:08.219045897
TIGRESS;0.116546974894754;0.83552584796985;0.4760364114;0 days 00:01:01.279923120
