sim_BioGrid_Human_papillomavirus_5_mixed_exp;sim_BioGrid_Human_papillomavirus_5_mixed_exp;sim_BioGrid_Human_papillomavirus_5_mixed_exp;sim_BioGrid_Human_papillomavirus_5_mixed_exp;sim_BioGrid_Human_papillomavirus_5_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.0134404551140878;0.480093941575877;0.2467671983;0 days 00:00:00.457740783
BC3NET;0.0110115785959521;0.49993876301286;0.2554751708;0 days 00:00:27.351234163
C3NET;0.0147936704232795;0.505211873246166;0.2600027718;0 days 00:00:00.926538240
CLR;0.0104589347490251;0.495189195372906;0.2528240650;0 days 00:00:00.354804302
GENIE3_ET;0.00901979343149219;0.407073881415584;0.2080468374;0 days 00:01:20.706299508
GENIE3_RF;0.00946530639738485;0.413674017348237;0.2115696618;0 days 00:01:47.812390276
GRNBOOST2;0.0411822086278517;0.565677678108786;0.3034299433;0 days 00:00:07.133033177
INFERELATOR;0.00932295636195418;0.458481322718922;0.2339021395;0 days 00:04:54.136516077
KBOOST;0.00923758369434733;0.328148153132844;0.1686928684;0 days 00:00:03.037962847
LEAP;0.0111062624059518;0.49729547855696;0.2542008704;0 days 00:00:02.619101535
MEOMI;0.0676963904200637;0.545914954610607;0.3068056725;0 days 00:02:09.057233162
MRNETB;0.0141015249750741;0.495524989401291;0.2548132571;0 days 00:00:00.383778288
MRNET;0.0137854740747642;0.487511019293016;0.2506482466;0 days 00:00:00.338854283
NARROMI;0.0110115785959521;0.49993876301286;0.2554751708;0 days 00:00:08.854790326
PCACMI;0.0146781431527103;0.502719325989381;0.2586987345;0 days 00:00:06.473058164
PCIT;0.0110222868217054;0.5;0.2555111434;0 days 00:00:09.270395493
PIDC;0.0129311175703364;0.590134788665101;0.3015329531;0 days 00:00:08.048755421
PLSNET;0.0563121670054319;0.179052912794493;0.1176825398;0 days 00:02:01.212760483
PUC;0.0202390191794624;0.694086256670458;0.3571626379;0 days 00:00:07.544947665
RSNET;0.0146779517016302;0.502770468967652;0.2587242103;0 days 00:00:08.927335757
