sim_BioGrid_Human_papillomavirus_6b_mixed_exp;sim_BioGrid_Human_papillomavirus_6b_mixed_exp;sim_BioGrid_Human_papillomavirus_6b_mixed_exp;sim_BioGrid_Human_papillomavirus_6b_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.114043754674868;0.649340201544655;0.3816919781
BC3NET;0.0424953100045123;0.536012112920399;0.2892537114
C3NET;0.115411467098869;0.646830889141732;0.3811211781
CLR;0.0924185135552769;0.764898331371169;0.4286584224
KBOOST;0.0041704058035325;0.446551623250911;0.2253610145
LEAP;0.0650664779380205;0.710955050690949;0.3880107643
MRNETB;0.0605061120959463;0.774099917867346;0.4173030149
MRNET;0.136753949987065;0.782976887102327;0.4598654185
NARROMI;0.184170999272448;0.594110332593707;0.3891406659
PCIT;0.0033911149000663;0.5;0.2516955574
PIDC;0.016747057504609;0.738195196524729;0.377471127
PUC;0.0650922118310735;0.767062796010481;0.4160775039
RSNET;0.0858042296542625;0.77954634346147;0.4326752865
BEST_GENECI;0.135026688476743;0.789514618210595;0.462270653343669
MEDIAN_GENECI;0.0819118491652476;0.795513559534068;0.4387127043496578
MEAN;0.0836762898085499;0.771075271911758;0.42737578086015393
MEDIAN;0.118194458384417;0.739415186087701;0.428804822236059
