sim_BioGrid_Human_papillomavirus_6b_mixed_exp;sim_BioGrid_Human_papillomavirus_6b_mixed_exp;sim_BioGrid_Human_papillomavirus_6b_mixed_exp;sim_BioGrid_Human_papillomavirus_6b_mixed_exp;sim_BioGrid_Human_papillomavirus_6b_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.114043754674868;0.649340201544655;0.3816919781;0 days 00:00:01.838654429
BC3NET;0.0424953100045123;0.536012112920399;0.2892537114;0 days 00:04:01.488789408
C3NET;0.115411467098869;0.646830889141732;0.3811211781;0 days 00:00:11.398452186
CLR;0.0924185135552769;0.764898331371169;0.4286584224;0 days 00:00:01.892346787
KBOOST;0.0041704058035325;0.446551623250911;0.2253610145;0 days 00:02:14.414210728
LEAP;0.0650664779380205;0.710955050690949;0.3880107643;0 days 00:00:40.582443601
MRNETB;0.0605061120959463;0.774099917867346;0.4173030149;0 days 00:00:02.595596868
MRNET;0.136753949987065;0.782976887102327;0.4598654185;0 days 00:00:02.063480627
NARROMI;0.184170999272448;0.594110332593707;0.3891406659;0 days 00:00:59.837942919
PCIT;0.00339111490006631;0.5;0.2516955574;0 days 00:00:14.730039812
PIDC;0.016747057504609;0.738195196524729;0.3774711270;0 days 00:00:53.133332329
PUC;0.0650922118310735;0.767062796010481;0.4160775039;0 days 00:00:49.263846567
RSNET;0.0858042296542625;0.77954634346147;0.4326752865;0 days 00:00:24.133981278
