sim_BioGrid_Macaca_mulatta_mixed_exp;sim_BioGrid_Macaca_mulatta_mixed_exp;sim_BioGrid_Macaca_mulatta_mixed_exp;sim_BioGrid_Macaca_mulatta_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.007058270161713;0.510711718839652;0.2588849945
BC3NET;0.0100600113979978;0.522067232486365;0.2660636219
C3NET;0.0067331431346595;0.50289735974295;0.2548152514
CLR;0.0070425791180028;0.512993594892825;0.260018087
KBOOST;0.0056487407002058;0.470642919049834;0.2381458298
LEAP;0.0066653780225195;0.501595992051748;0.254130685
MRNETB;0.0070774079126821;0.510976899638222;0.2590271537
MRNET;0.007085292141799;0.51146702170066;0.2592761569
NARROMI;0.0096059531409871;0.501754119078824;0.2556800361
PCIT;0.0058840835539864;0.5;0.2529420417
PIDC;0.0072324493680366;0.506514803317006;0.2568736263
PUC;0.0067218295269745;0.514462149168635;0.2605919893
RSNET;0.0107128611582821;0.576391095058917;0.2935519781
BEST_GENECI;0.0110103607235663;0.57291475409341;0.2919625574084881
MEDIAN_GENECI;0.009494790248531;0.531571538796045;0.270533164522288
MEAN;0.00744665777656194;0.514932604441599;0.2611896311090805
MEDIAN;0.00718105641640863;0.513804614032651;0.2604928352245298
