sim_BioGrid_Macaca_mulatta_mixed_exp;sim_BioGrid_Macaca_mulatta_mixed_exp;sim_BioGrid_Macaca_mulatta_mixed_exp;sim_BioGrid_Macaca_mulatta_mixed_exp;sim_BioGrid_Macaca_mulatta_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.00705827016171306;0.510711718839652;0.2588849945;0 days 00:00:00.791539727
BC3NET;0.0100600113979978;0.522067232486365;0.2660636219;0 days 00:01:30.461363958
C3NET;0.00673314313465955;0.50289735974295;0.2548152514;0 days 00:00:04.497907863
CLR;0.00704257911800288;0.512993594892825;0.2600180870;0 days 00:00:00.771518211
KBOOST;0.00564874070020582;0.470642919049834;0.2381458298;0 days 00:00:37.785437186
LEAP;0.00666537802251956;0.501595992051748;0.2541306850;0 days 00:00:16.197271101
MRNETB;0.00707740791268214;0.510976899638222;0.2590271537;0 days 00:00:00.979023280
MRNET;0.00708529214179907;0.51146702170066;0.2592761569;0 days 00:00:00.852868632
NARROMI;0.00960595314098711;0.501754119078824;0.2556800361;0 days 00:00:12.996788715
PCIT;0.00588408355398647;0.5;0.2529420417;0 days 00:00:10.468110327
PIDC;0.00723244936803669;0.506514803317006;0.2568736263;0 days 00:00:20.417991539
PUC;0.00672182952697451;0.514462149168635;0.2605919893;0 days 00:00:19.318819572
RSNET;0.0107128611582821;0.576391095058917;0.2935519781;0 days 00:00:13.541134366
