sim_BioGrid_Middle-East_Respiratory_Syndrome-related_Coronavirus_mixed_exp;sim_BioGrid_Middle-East_Respiratory_Syndrome-related_Coronavirus_mixed_exp;sim_BioGrid_Middle-East_Respiratory_Syndrome-related_Coronavirus_mixed_exp;sim_BioGrid_Middle-East_Respiratory_Syndrome-related_Coronavirus_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.442758384356632;0.881507199451302;0.6621327919
BC3NET;0.467393803204828;0.886440753033372;0.6769172781
C3NET;0.408912955753971;0.851902227217243;0.6304075914
CLR;0.388004293399794;0.930506647018578;0.6592554702
KBOOST;0.0023146512737727;0.601837542676023;0.3020760969
LEAP;0.0070190206792225;0.517218292415849;0.2621186565
MRNETB;0.216889533350479;0.931547711410775;0.5742186223
MRNET;0.36769555706703;0.932826160932107;0.6502608589
NARROMI;0.0158697989210469;0.507052153112485;0.261460976
PCIT;0.001628835645229;0.5;0.2508144178
PIDC;0.01908559425087;0.790877657712412;0.4049816259
PUC;0.0293929042451137;0.835730569019287;0.4325617366
RSNET;0.226353985496794;0.936713356003334;0.5815336707
BEST_GENECI;0.455000280039426;0.941068413716764;0.698034346878095
MEDIAN_GENECI;0.402281021374397;0.940433676326033;0.671357348850215
MEAN;0.355140795290338;0.91078256186856;0.632961678579449
MEDIAN;0.389792692604171;0.921630892771348;0.6557117926877595
