sim_BioGrid_Neurospora_crassa_OR74A_mixed_exp;sim_BioGrid_Neurospora_crassa_OR74A_mixed_exp;sim_BioGrid_Neurospora_crassa_OR74A_mixed_exp;sim_BioGrid_Neurospora_crassa_OR74A_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.196168865129924;0.722016129032258;0.459092497
BC3NET;0.151189071542502;0.684435483870968;0.4178122777
C3NET;0.145279318121042;0.684354838709677;0.4148170784
CLR;0.212829311504995;0.674354838709677;0.4435920751
CMI2NI;0.134006013553499;0.725161290322581;0.4295836519
GENIE3_ET;0.0349324463530179;0.53991935483871;0.2874259005
GENIE3_RF;0.116809896362506;0.682096774193548;0.3994533352
GRNBOOST2;0.0251271153420572;0.644193548387097;0.3346603318
GRNVBEM;0.0195472190194396;0.450967741935484;0.2352574804
INFERELATOR;0.0979270025907209;0.661693548387097;0.3798102754
KBOOST;0.0485942107472119;0.784677419354839;0.416635815
LEAP;0.0705519753984363;0.629838709677419;0.3501953425
LOCPCACMI;0.130681433370816;0.691129032258065;0.4109052328
MEOMI;0.0230123456009955;0.545322580645161;0.2841674631
MRNETB;0.16242194019739;0.69741935483871;0.4299206475
MRNET;0.170458602169949;0.666451612903226;0.4184551075
NARROMI;0.319779418770076;0.642661290322581;0.4812203545
NONLINEARODES;0.0200560213188837;0.563548387096774;0.2918022042
PCACMI;0.117961005495306;0.724032258064516;0.4209966317
PCIT;0.0158730158730159;0.5;0.2579365079
PIDC;0.0330871295859444;0.690645161290323;0.3618661454
PLSNET;0.10844718070491;0.717177419354839;0.4128123
PUC;0.0421069179303809;0.71258064516129;0.3773437815
RSNET;0.226489463831281;0.723064516129032;0.4747769899
TIGRESS;0.24635973052663;0.689112903225806;0.4677363168
BEST_GENECI;0.158477963131673;0.769838709677419;0.4641583364045459
MEDIAN_GENECI;0.150436311278549;0.730806451612903;0.440621381445726
MEAN;0.158041113103455;0.714516129032258;0.43627862106785653
MEDIAN;0.196042835495994;0.715483870967742;0.455763353231868
