sim_BioGrid_Oryctolagus_cuniculus_mixed_exp;sim_BioGrid_Oryctolagus_cuniculus_mixed_exp;sim_BioGrid_Oryctolagus_cuniculus_mixed_exp;sim_BioGrid_Oryctolagus_cuniculus_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.312918613125645;0.838789933506649;0.5758542733
BC3NET;0.119519592020458;0.626358239176082;0.3729389155
C3NET;0.26682524405553;0.783001824817518;0.5249135344
CLR;0.308509108431298;0.908189181081892;0.6083491447
KBOOST;0.036116069266599;0.684095465453454;0.3601057673
LEAP;0.130340198927283;0.646496412858714;0.3884183058
MRNETB;0.246828575191658;0.912999450054994;0.5799140126
MRNET;0.312797240756516;0.912425257474253;0.6126112491
NARROMI;0.127436568035927;0.561507849215079;0.3444722086
PCIT;0.002657154296946;0.5;0.2513285771
PIDC;0.136998860603617;0.799083341665833;0.4680411011
PUC;0.140224359880601;0.78741900809919;0.4638216839
RSNET;0.257529023236096;0.903250924907509;0.580389974
BEST_GENECI;0.302561884542371;0.891847627737226;0.5972047561397985
MEDIAN_GENECI;0.233229732530391;0.90098202679732;0.5671058796638555
MEAN;0.257484837392056;0.837365263473653;0.5474250504328545
MEDIAN;0.335847473974181;0.90539296070393;0.6206202173390556
