sim_BioGrid_Oryctolagus_cuniculus_mixed_exp;sim_BioGrid_Oryctolagus_cuniculus_mixed_exp;sim_BioGrid_Oryctolagus_cuniculus_mixed_exp;sim_BioGrid_Oryctolagus_cuniculus_mixed_exp;sim_BioGrid_Oryctolagus_cuniculus_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.312918613125645;0.838789933506649;0.5758542733;0 days 00:00:00.787032913
BC3NET;0.119519592020458;0.626358239176082;0.3729389155;0 days 00:01:47.614581785
C3NET;0.26682524405553;0.783001824817518;0.5249135344;0 days 00:00:05.263237455
CLR;0.308509108431298;0.908189181081892;0.6083491447;0 days 00:00:00.816825710
KBOOST;0.036116069266599;0.684095465453454;0.3601057673;0 days 00:00:50.076100102
LEAP;0.130340198927283;0.646496412858714;0.3884183058;0 days 00:00:18.764725354
MRNETB;0.246828575191658;0.912999450054994;0.5799140126;0 days 00:00:01.055866846
MRNET;0.312797240756516;0.912425257474253;0.6126112491;0 days 00:00:00.878966927
NARROMI;0.127436568035927;0.561507849215079;0.3444722086;0 days 00:00:16.794083264
PCIT;0.00265715429694609;0.5;0.2513285771;0 days 00:00:10.704870491
PIDC;0.136998860603617;0.799083341665833;0.4680411011;0 days 00:00:20.853079478
PUC;0.140224359880601;0.78741900809919;0.4638216839;0 days 00:00:19.495966495
RSNET;0.257529023236096;0.903250924907509;0.5803899740;0 days 00:00:14.480106841
