sim_BioGrid_Oryza_sativa_Japonica_mixed_exp;sim_BioGrid_Oryza_sativa_Japonica_mixed_exp;sim_BioGrid_Oryza_sativa_Japonica_mixed_exp;sim_BioGrid_Oryza_sativa_Japonica_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.281795980429495;0.779874672905041;0.5308353266
BC3NET;0.0515819433211041;0.536555769918577;0.2940688566
C3NET;0.27119853595677;0.760759918687022;0.5159792273
CLR;0.272417147459622;0.932488934883925;0.6024530411
KBOOST;0.0267293597909911;0.624517112951318;0.3256232363
LEAP;0.111160670131833;0.585098178669576;0.3481294244
MRNETB;0.327774352215009;0.936388983423539;0.6320816678
MRNET;0.340440067333641;0.936047119009646;0.6382435931
NARROMI;0.044615257273008;0.521305309613398;0.2829602834
PCIT;0.0030581039755351;0.5;0.2515290519
PIDC;0.0809843257410188;0.726782359590953;0.4038833426
PUC;0.0879265906735057;0.764643487023865;0.4262850388
RSNET;0.373220168518965;0.941727257548275;0.657473713
BEST_GENECI;0.290508071788654;0.929913974482031;0.6102110231353425
MEDIAN_GENECI;0.163344491470245;0.931187226964668;0.5472658592174565
MEAN;0.156491751036205;0.840652976427266;0.4985723637317355
MEDIAN;0.29083337426441;0.900442182658584;0.595637778461497
