sim_BioGrid_Oryza_sativa_Japonica_mixed_exp;sim_BioGrid_Oryza_sativa_Japonica_mixed_exp;sim_BioGrid_Oryza_sativa_Japonica_mixed_exp;sim_BioGrid_Oryza_sativa_Japonica_mixed_exp;sim_BioGrid_Oryza_sativa_Japonica_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.281795980429495;0.779874672905041;0.5308353266;0 days 00:00:00.875077215
BC3NET;0.0515819433211041;0.536555769918577;0.2940688566;0 days 00:01:47.850499844
C3NET;0.27119853595677;0.760759918687022;0.5159792273;0 days 00:00:05.159057489
CLR;0.272417147459622;0.932488934883925;0.6024530411;0 days 00:00:00.869874179
KBOOST;0.0267293597909911;0.624517112951318;0.3256232363;0 days 00:00:47.572111743
LEAP;0.111160670131833;0.585098178669576;0.3481294244;0 days 00:00:18.941027739
MRNETB;0.327774352215009;0.936388983423539;0.6320816678;0 days 00:00:01.080396488
MRNET;0.340440067333641;0.936047119009646;0.6382435931;0 days 00:00:00.932331732
NARROMI;0.044615257273008;0.521305309613398;0.2829602834;0 days 00:00:14.429890520
PCIT;0.00305810397553517;0.5;0.2515290519;0 days 00:00:10.805736637
PIDC;0.0809843257410188;0.726782359590953;0.4038833426;0 days 00:00:20.655492278
PUC;0.0879265906735057;0.764643487023865;0.4262850388;0 days 00:00:19.508700007
RSNET;0.373220168518965;0.941727257548275;0.6574737130;0 days 00:00:15.930561063
