sim_BioGrid_Plasmodium_falciparum_3D7_mixed_exp;sim_BioGrid_Plasmodium_falciparum_3D7_mixed_exp;sim_BioGrid_Plasmodium_falciparum_3D7_mixed_exp;sim_BioGrid_Plasmodium_falciparum_3D7_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.259256903953238;0.76510772641968;0.5121823151
BC3NET;0.0089035446995018;0.509961231254548;0.2594323879
C3NET;0.154460248798746;0.653642949028778;0.4040515989
CLR;0.227430346897624;0.783951532100293;0.5056909394
KBOOST;0.044432623458593;0.62704450907038;0.3357385662
LEAP;0.0794910232387574;0.590368844124306;0.3349299336
MRNETB;0.193973824589178;0.788265139055636;0.4911194818
MRNET;0.246387629983242;0.7876450913358;0.5170163606
NARROMI;0.0180276968219489;0.508063839221041;0.263045768
PCIT;0.0017800381436745;0.5;0.250890019
PIDC;0.154769937438012;0.793516736940866;0.4741433371
PUC;0.149829369887468;0.791054358682294;0.4704418642
RSNET;0.204981588541115;0.797185864899688;0.5010837267
BEST_GENECI;0.230833894697445;0.811742285788752;0.5212880902430985
MEDIAN_GENECI;0.208008488675578;0.79373548972509;0.500871989200334
MEAN;0.199755791746018;0.802900314797034;0.5013280532715261
MEDIAN;0.207638628768066;0.787905669880845;0.49777214932445546
