sim_BioGrid_Plasmodium_falciparum_3D7_mixed_exp;sim_BioGrid_Plasmodium_falciparum_3D7_mixed_exp;sim_BioGrid_Plasmodium_falciparum_3D7_mixed_exp;sim_BioGrid_Plasmodium_falciparum_3D7_mixed_exp;sim_BioGrid_Plasmodium_falciparum_3D7_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.259256903953238;0.76510772641968;0.5121823151;0 days 00:00:20.422044123
BC3NET;0.00890354469950182;0.509961231254548;0.2594323879;0 days 01:01:59.739279346
C3NET;0.154460248798746;0.653642949028778;0.4040515989;0 days 00:01:10.275319461
CLR;0.227430346897624;0.783951532100293;0.5056909394;0 days 00:00:18.180436832
KBOOST;0.044432623458593;0.62704450907038;0.3357385662;0 days 01:13:08.494215370
LEAP;0.0794910232387574;0.590368844124306;0.3349299336;0 days 00:08:13.969657239
MRNETB;0.193973824589178;0.788265139055636;0.4911194818;0 days 00:00:31.489341438
MRNET;0.246387629983242;0.7876450913358;0.5170163606;0 days 00:00:21.638036509
NARROMI;0.0180276968219489;0.508063839221041;0.2630457680;0 days 00:06:18.016673106
PCIT;0.00178003814367451;0.5;0.2508900190;0 days 00:02:21.383068641
PIDC;0.154769937438012;0.793516736940866;0.4741433371;0 days 00:16:38.162381017
PUC;0.149829369887468;0.791054358682294;0.4704418642;0 days 00:16:09.844790862
RSNET;0.204981588541115;0.797185864899688;0.5010837267;0 days 00:03:20.475253226
