sim_BioGrid_Simian_Immunodeficiency_Virus_mixed_exp;sim_BioGrid_Simian_Immunodeficiency_Virus_mixed_exp;sim_BioGrid_Simian_Immunodeficiency_Virus_mixed_exp;sim_BioGrid_Simian_Immunodeficiency_Virus_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.561155299665737;0.771838331160365;0.6664968154
BC3NET;0.591566663436573;0.793785310734463;0.692675987
C3NET;0.505841962362012;0.717731421121252;0.6117866917
CLR;0.556106482910611;0.879617557583659;0.7178620202
CMI2NI;0.705433633220286;0.953063885267275;0.8292487592
GENIE3_ET;0.532669680811952;0.874402433724468;0.7035360572
GENIE3_RF;0.550360586710873;0.856149500217297;0.7032550434
GRNBOOST2;0.376251643200184;0.764884832681443;0.5705682379
GRNVBEM;0.0743804079316336;0.496088657105606;0.2852345325
INFERELATOR;0.568447611219524;0.837244676227727;0.7028461437
JUMP3;0.148252282380912;0.636245110821382;0.3922486966
KBOOST;0.245379082594688;0.679704476314646;0.4625417794
LEAP;0.136251648816014;0.700564971751412;0.4184083102
LOCPCACMI;0.675069121325668;0.862668405041286;0.7688687631
MEOMI;0.173453772222;0.628857018687527;0.4011553954
MRNETB;0.569531965488914;0.871360278139939;0.7204461218
MRNET;0.565468496863335;0.869621903520209;0.7175452001
NARROMI;0.463624691642902;0.688830943068231;0.5762278173
NONLINEARODES;0.133510112638916;0.671447196870926;0.4024786547
PCACMI;0.705433633220286;0.953063885267275;0.8292487592
PCIT;0.068421052631579;0.5;0.2842105263
PIDC;0.334691677651292;0.774445893089961;0.5545687853
PLSNET;0.389713590789818;0.670143415906128;0.5299285033
PUC;0.476701828180689;0.782268578878748;0.6294852035
RSNET;0.678907351800728;0.950456323337679;0.8146818375
TIGRESS;0.678135036747493;0.94980443285528;0.8139697348
BEST_GENECI;0.700314262901821;0.933941764450239;0.8171280136760299
MEDIAN_GENECI;0.626706383797405;0.893959148196436;0.7603327659969205
MEAN;0.662520344937372;0.894828335506302;0.778674340221837
MEDIAN;0.675512486926082;0.920469361147327;0.7979909240367045
