sim_BioGrid_Simian_Immunodeficiency_Virus_mixed_exp;sim_BioGrid_Simian_Immunodeficiency_Virus_mixed_exp;sim_BioGrid_Simian_Immunodeficiency_Virus_mixed_exp;sim_BioGrid_Simian_Immunodeficiency_Virus_mixed_exp;sim_BioGrid_Simian_Immunodeficiency_Virus_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.561155299665737;0.771838331160365;0.6664968154;0 days 00:00:00.263666850
BC3NET;0.591566663436573;0.793785310734463;0.6926759870;0 days 00:00:05.256841252
C3NET;0.505841962362012;0.717731421121252;0.6117866917;0 days 00:00:00.370627113
CLR;0.556106482910611;0.879617557583659;0.7178620202;0 days 00:00:00.289617052
CMI2NI;0.705433633220286;0.953063885267275;0.8292487592;0 days 00:00:05.902926058
GENIE3_ET;0.532669680811952;0.874402433724468;0.7035360572;0 days 00:00:11.685796678
GENIE3_RF;0.550360586710873;0.856149500217297;0.7032550434;0 days 00:00:14.367171889
GRNBOOST2;0.376251643200184;0.764884832681443;0.5705682379;0 days 00:00:03.550655559
GRNVBEM;0.0743804079316336;0.496088657105606;0.2852345325;0 days 00:00:08.265255129
INFERELATOR;0.568447611219524;0.837244676227727;0.7028461437;0 days 00:08:03.745006504
JUMP3;0.148252282380912;0.636245110821382;0.3922486966;0 days 00:00:40.220347267
KBOOST;0.245379082594688;0.679704476314646;0.4625417794;0 days 00:00:00.315695287
LEAP;0.136251648816014;0.700564971751412;0.4184083102;0 days 00:00:00.334063709
LOCPCACMI;0.675069121325668;0.862668405041286;0.7688687631;0 days 00:00:07.392053309
MEOMI;0.173453772222;0.628857018687527;0.4011553954;0 days 00:00:08.740177302
MRNETB;0.569531965488914;0.871360278139939;0.7204461218;0 days 00:00:00.270629294
MRNET;0.565468496863335;0.869621903520209;0.7175452001;0 days 00:00:00.552258504
NARROMI;0.463624691642902;0.688830943068231;0.5762278173;0 days 00:00:10.765711101
NONLINEARODES;0.133510112638916;0.671447196870926;0.4024786547;0 days 00:00:01.687412512
PCACMI;0.705433633220286;0.953063885267275;0.8292487592;0 days 00:00:06.337294182
PCIT;0.068421052631579;0.5;0.2842105263;0 days 00:00:13.687212325
PIDC;0.334691677651292;0.774445893089961;0.5545687853;0 days 00:00:09.447997035
PLSNET;0.389713590789818;0.670143415906128;0.5299285033;0 days 00:00:09.056038946
PUC;0.476701828180689;0.782268578878748;0.6294852035;0 days 00:00:09.683357403
RSNET;0.678907351800728;0.950456323337679;0.8146818375;0 days 00:00:12.259288839
TIGRESS;0.678135036747493;0.94980443285528;0.8139697348;0 days 00:00:15.190359571
