sim_BioGrid_Simian_Virus_40_mixed_exp;sim_BioGrid_Simian_Virus_40_mixed_exp;sim_BioGrid_Simian_Virus_40_mixed_exp;sim_BioGrid_Simian_Virus_40_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.647666266828146;0.823529411764706;0.7355978392
BC3NET;0.459544152702434;0.625;0.5422720763
C3NET;0.544277711355149;0.720588235294118;0.6324329733
CLR;0.532905233719104;0.764705882352941;0.648805558
CMI2NI;0.944214112171448;0.985294117647059;0.9647541149
GENIE3_ET;0.489754013700418;0.720588235294118;0.6051711244
GENIE3_RF;0.273978841806211;0.647058823529412;0.4605188326
GRNBOOST2;0.239055599159009;0.647058823529412;0.4430572113
GRNVBEM;0.820953061968133;0.852941176470588;0.8369471192
INFERELATOR;0.515495721487312;0.75;0.6327478607
JUMP3;0.248082727734948;0.691176470588235;0.4696295991
KBOOST;0.679484410289534;0.897058823529412;0.7882716169
LEAP;0.659920390202445;0.867647058823529;0.7637837245
LOCPCACMI;0.820953061968133;0.852941176470588;0.8369471192
MEOMI;0.192096795141101;0.507352941176471;0.3497248681
MRNETB;0.600549384856314;0.794117647058823;0.6973335159
MRNET;0.637263625398997;0.801470588235294;0.7193671068
NARROMI;0.19047619047619;0.5;0.3452380952
NONLINEARODES;0.797267445945918;0.941176470588235;0.8692219582
PCACMI;0.944214112171448;0.985294117647059;0.9647541149
PCIT;0.19047619047619;0.5;0.3452380952
PIDC;0.245370587312258;0.617647058823529;0.431508823
PLSNET;0.944214112171448;0.985294117647059;0.9647541149
PUC;0.238444439281708;0.573529411764706;0.4059869255
RSNET;0.944214112171448;0.985294117647059;0.9647541149
TIGRESS;0.468156479335723;0.808823529411765;0.6384900043
BEST_GENECI;0.944214112171448;0.985294117647059;0.9647541149092536
MEDIAN_GENECI;0.884386990129556;0.955882352941176;0.920134671535366
MEAN;0.884386990129556;0.955882352941176;0.920134671535366
MEDIAN;0.797267445945918;0.941176470588235;0.8692219582670765
