sim_BioGrid_Streptococcus_pneumoniae_ATCCBAA255_mixed_exp;sim_BioGrid_Streptococcus_pneumoniae_ATCCBAA255_mixed_exp;sim_BioGrid_Streptococcus_pneumoniae_ATCCBAA255_mixed_exp;sim_BioGrid_Streptococcus_pneumoniae_ATCCBAA255_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.569460163200017;0.537037037037037;0.5532486001
BC3NET;0.630357354017687;0.611111111111111;0.6207342325
C3NET;0.594760139112074;0.578703703703704;0.5867319214
CLR;0.583819556645608;0.564814814814815;0.5743171857
CMI2NI;0.747286395621813;0.652777777777778;0.7000320866
GENIE3_ET;0.635364205876717;0.560185185185185;0.5977746955
GENIE3_RF;0.435613259642751;0.537037037037037;0.4863251483
GRNBOOST2;0.435753829338645;0.546296296296296;0.4910250628
GRNVBEM;0.452907585854508;0.444444444444444;0.4486760151
INFERELATOR;0.636842624818171;0.592592592592593;0.6147176087
JUMP3;0.378773629740347;0.449074074074074;0.4139238519
KBOOST;0.713956620225469;0.643518518518518;0.6787375693
LEAP;0.546026975999557;0.472222222222222;0.5091245991
LOCPCACMI;0.739514532305303;0.699074074074074;0.7192943031
MEOMI;0.639943417712883;0.62962962962963;0.6347865236
MRNETB;0.558273766782968;0.527777777777778;0.5430257722
MRNET;0.558273766782968;0.527777777777778;0.5430257722
NARROMI;0.547853931672625;0.555555555555556;0.5517047436
NONLINEARODES;0.360001274792753;0.421296296296296;0.3906487855
PCACMI;0.747286395621813;0.652777777777778;0.7000320866
PCIT;0.428571428571429;0.5;0.4642857142
PIDC;0.426741652759256;0.37962962962963;0.4031856411
PLSNET;0.511570460285495;0.587962962962963;0.5497667116
PUC;0.40987294584341;0.333333333333333;0.3716031395
RSNET;0.747286395621813;0.652777777777778;0.7000320866
TIGRESS;0.594401563812653;0.560185185185185;0.5772933744
BEST_GENECI;0.736301108794614;0.625;0.6806505543973069
MEDIAN_GENECI;0.736301108794614;0.625;0.6806505543973069
MEAN;0.627724925797855;0.560185185185185;0.5939550554915201
MEDIAN;0.71604315803973;0.615740740740741;0.6658919493902355
