sim_BioGrid_Streptococcus_pneumoniae_ATCCBAA255_mixed_exp;sim_BioGrid_Streptococcus_pneumoniae_ATCCBAA255_mixed_exp;sim_BioGrid_Streptococcus_pneumoniae_ATCCBAA255_mixed_exp;sim_BioGrid_Streptococcus_pneumoniae_ATCCBAA255_mixed_exp;sim_BioGrid_Streptococcus_pneumoniae_ATCCBAA255_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.569460163200017;0.537037037037037;0.5532486001;0 days 00:00:00.270212142
BC3NET;0.630357354017687;0.611111111111111;0.6207342325;0 days 00:00:40.812688951
C3NET;0.594760139112074;0.578703703703704;0.5867319214;0 days 00:00:00.359574099
CLR;0.583819556645608;0.564814814814815;0.5743171857;0 days 00:00:00.290762456
CMI2NI;0.747286395621813;0.652777777777778;0.7000320866;0 days 00:00:05.891449847
GENIE3_ET;0.635364205876717;0.560185185185185;0.5977746955;0 days 00:00:05.686059806
GENIE3_RF;0.435613259642751;0.537037037037037;0.4863251483;0 days 00:00:06.476280983
GRNBOOST2;0.435753829338645;0.546296296296296;0.4910250628;0 days 00:00:03.371157101
GRNVBEM;0.452907585854508;0.444444444444444;0.4486760151;0 days 00:00:06.514380841
INFERELATOR;0.636842624818171;0.592592592592593;0.6147176087;0 days 00:06:26.907976097
JUMP3;0.378773629740347;0.449074074074074;0.4139238519;0 days 00:00:09.591998156
KBOOST;0.713956620225469;0.643518518518518;0.6787375693;0 days 00:00:00.306559964
LEAP;0.546026975999557;0.472222222222222;0.5091245991;0 days 00:00:00.296315969
LOCPCACMI;0.739514532305303;0.699074074074074;0.7192943031;0 days 00:00:07.170533610
MEOMI;0.639943417712883;0.62962962962963;0.6347865236;0 days 00:00:12.673584703
MRNETB;0.558273766782968;0.527777777777778;0.5430257722;0 days 00:00:00.274982762
MRNET;0.558273766782968;0.527777777777778;0.5430257722;0 days 00:00:00.546738767
NARROMI;0.547853931672625;0.555555555555556;0.5517047436;0 days 00:00:10.009995492
NONLINEARODES;0.360001274792753;0.421296296296296;0.3906487855;0 days 00:00:01.212348089
PCACMI;0.747286395621813;0.652777777777778;0.7000320866;0 days 00:00:06.240026761
PCIT;0.428571428571429;0.5;0.4642857142;0 days 00:00:14.253932978
PIDC;0.426741652759256;0.37962962962963;0.4031856411;0 days 00:00:16.509239867
PLSNET;0.511570460285495;0.587962962962963;0.5497667116;0 days 00:00:06.453858045
PUC;0.40987294584341;0.333333333333333;0.3716031395;0 days 00:00:09.066658176
RSNET;0.747286395621813;0.652777777777778;0.7000320866;0 days 00:00:12.566256054
TIGRESS;0.594401563812653;0.560185185185185;0.5772933744;0 days 00:00:04.452153583
