sim_BioGrid_Strongylocentrotus_purpuratus_mixed_exp;sim_BioGrid_Strongylocentrotus_purpuratus_mixed_exp;sim_BioGrid_Strongylocentrotus_purpuratus_mixed_exp;sim_BioGrid_Strongylocentrotus_purpuratus_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.0753192777317389;0.544405594405594;0.309862436
BC3NET;0.0590346287597824;0.479020979020979;0.2690278038
C3NET;0.0662495278243834;0.504195804195804;0.285222666
CLR;0.0751586984987515;0.546153846153846;0.3106562723
CMI2NI;0.19911549662725;0.803496503496503;0.501306
GENIE3_ET;0.0529312372155259;0.421328671328671;0.2371299542
GENIE3_RF;0.0725038829212048;0.595804195804196;0.3341540393
GRNBOOST2;0.0784721939008558;0.616083916083916;0.3472780549
GRNVBEM;0.270087032819793;0.611188811188811;0.440637922
INFERELATOR;0.122559465061241;0.726923076923077;0.4247412709
JUMP3;0.0798643882683033;0.426573426573427;0.2532189074
KBOOST;0.468936748473256;0.951048951048951;0.7099928497
LEAP;0.112683928593691;0.586713286713287;0.3496986076
LOCPCACMI;0.214806481272984;0.845454545454545;0.5301305133
MEOMI;0.0529376181383084;0.437062937062937;0.2450002776
MRNETB;0.0793463345990977;0.548951048951049;0.3141486917
MRNET;0.0792250270032586;0.571678321678322;0.3254516743
NARROMI;0.0605483652803522;0.486013986013986;0.2732811756
NONLINEARODES;0.0515779495205053;0.425174825174825;0.2383763873
PCACMI;0.19911549662725;0.803496503496503;0.501306
PCIT;0.065359477124183;0.5;0.2826797385
PIDC;0.211572070160986;0.674825174825175;0.4431986224
PLSNET;1.0;1.0;1.0
PUC;0.113260334584084;0.707692307692308;0.4104763211
RSNET;0.213529485979269;0.808391608391608;0.5109605471
TIGRESS;0.0579522522621635;0.477622377622378;0.2677873149
BEST_GENECI;0.142776543951858;0.78041958041958;0.461598062185719
MEDIAN_GENECI;0.0943775596116604;0.684615384615385;0.3894964721135227
MEAN;0.148635616122458;0.801398601398601;0.4750171087605295
MEDIAN;0.144608586822571;0.737762237762238;0.4411854122924045
