sim_BioGrid_Strongylocentrotus_purpuratus_mixed_exp;sim_BioGrid_Strongylocentrotus_purpuratus_mixed_exp;sim_BioGrid_Strongylocentrotus_purpuratus_mixed_exp;sim_BioGrid_Strongylocentrotus_purpuratus_mixed_exp;sim_BioGrid_Strongylocentrotus_purpuratus_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.0753192777317389;0.544405594405594;0.3098624360;0 days 00:00:00.270433503
BC3NET;0.0590346287597824;0.479020979020979;0.2690278038;0 days 00:00:05.873569234
C3NET;0.0662495278243834;0.504195804195804;0.2852226660;0 days 00:00:00.369355980
CLR;0.0751586984987515;0.546153846153846;0.3106562723;0 days 00:00:00.269412208
CMI2NI;0.19911549662725;0.803496503496503;0.5013060000;0 days 00:00:05.928055782
GENIE3_ET;0.0529312372155259;0.421328671328671;0.2371299542;0 days 00:00:11.416569427
GENIE3_RF;0.0725038829212048;0.595804195804196;0.3341540393;0 days 00:00:13.229746358
GRNBOOST2;0.0784721939008558;0.616083916083916;0.3472780549;0 days 00:00:03.637286203
GRNVBEM;0.270087032819793;0.611188811188811;0.4406379220;0 days 00:00:06.861396237
INFERELATOR;0.122559465061241;0.726923076923077;0.4247412709;0 days 00:07:58.840613390
JUMP3;0.0798643882683033;0.426573426573427;0.2532189074;0 days 00:00:31.270338017
KBOOST;0.468936748473256;0.951048951048951;0.7099928497;0 days 00:00:00.318184369
LEAP;0.112683928593691;0.586713286713287;0.3496986076;0 days 00:00:00.321040683
LOCPCACMI;0.214806481272984;0.845454545454545;0.5301305133;0 days 00:00:07.478724963
MEOMI;0.0529376181383084;0.437062937062937;0.2450002776;0 days 00:00:08.392399355
MRNETB;0.0793463345990977;0.548951048951049;0.3141486917;0 days 00:00:00.272359702
MRNET;0.0792250270032586;0.571678321678322;0.3254516743;0 days 00:00:00.553242116
NARROMI;0.0605483652803522;0.486013986013986;0.2732811756;0 days 00:00:10.299061135
NONLINEARODES;0.0515779495205053;0.425174825174825;0.2383763873;0 days 00:00:01.565493298
PCACMI;0.19911549662725;0.803496503496503;0.5013060000;0 days 00:00:06.516529241
PCIT;0.065359477124183;0.5;0.2826797385;0 days 00:00:14.293066760
PIDC;0.211572070160986;0.674825174825175;0.4431986224;0 days 00:00:09.023355345
PLSNET;1;1;1.0000000000;0 days 00:00:09.261454469
PUC;0.113260334584084;0.707692307692308;0.4104763211;0 days 00:00:09.230855123
RSNET;0.213529485979269;0.808391608391608;0.5109605471;0 days 00:00:12.772241547
TIGRESS;0.0579522522621635;0.477622377622378;0.2677873149;0 days 00:00:13.560694849
