sim_BioGrid_Sus_scrofa_mixed_exp;sim_BioGrid_Sus_scrofa_mixed_exp;sim_BioGrid_Sus_scrofa_mixed_exp;sim_BioGrid_Sus_scrofa_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.260279021226127;0.815221066475689;0.5377500438
BC3NET;0.350974846595084;0.843260713876857;0.5971177802
C3NET;0.24129772034628;0.76065530562204;0.5009765129
CLR;0.33278542661424;0.898272414812133;0.6155289207
GENIE3_ET;0.242607234996827;0.92835140610898;0.5854793205
GENIE3_RF;0.216066537101721;0.931748537715882;0.5739075374
GRNBOOST2;0.164941670830192;0.873412919216956;0.519177295
INFERELATOR;0.303693597454492;0.888926309399884;0.5963099534
KBOOST;0.127527273200469;0.680182422772496;0.4038548479
LEAP;0.132481870850426;0.727976550207528;0.4302292105
MEOMI;0.0583557264786434;0.604890431856362;0.3316230791
MRNETB;0.237978560817596;0.898943321681207;0.5684609412
MRNET;0.254471834131936;0.890945685829222;0.5727087599
NARROMI;0.198457732576799;0.593821799681053;0.3961397661
PCACMI;0.340175418947489;0.93259915178203;0.6363872853
PCIT;0.007422969187675;0.5;0.2537114845
PIDC;0.118862336283569;0.819104073096901;0.4689832046
PLSNET;0.200058148887028;0.81444233528837;0.507250242
PUC;0.108210256707306;0.816489666170586;0.4623499614
RSNET;0.373247066702297;0.932628437399331;0.652937752
BEST_GENECI;0.401036046913086;0.955517809648812;0.678276928280949
MEDIAN_GENECI;0.354053880346818;0.950086658803922;0.65207026957537
MEAN;0.329889024854902;0.939352148898728;0.634620586876815
MEDIAN;0.316628758647927;0.922335874082495;0.619482316365211
