sim_BioGrid_Sus_scrofa_mixed_exp;sim_BioGrid_Sus_scrofa_mixed_exp;sim_BioGrid_Sus_scrofa_mixed_exp;sim_BioGrid_Sus_scrofa_mixed_exp;sim_BioGrid_Sus_scrofa_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.260279021226127;0.815221066475689;0.5377500438;0 days 00:00:00.318514256
BC3NET;0.350974846595084;0.843260713876857;0.5971177802;0 days 00:00:20.726321149
C3NET;0.24129772034628;0.76065530562204;0.5009765129;0 days 00:00:00.865835603
CLR;0.33278542661424;0.898272414812133;0.6155289207;0 days 00:00:00.322480067
GENIE3_ET;0.242607234996827;0.92835140610898;0.5854793205;0 days 00:01:09.520221576
GENIE3_RF;0.216066537101721;0.931748537715882;0.5739075374;0 days 00:01:28.318400490
GRNBOOST2;0.164941670830192;0.873412919216956;0.5191772950;0 days 00:00:07.079473387
INFERELATOR;0.303693597454492;0.888926309399884;0.5963099534;0 days 00:04:31.454964766
KBOOST;0.127527273200469;0.680182422772496;0.4038548479;0 days 00:00:02.883076877
LEAP;0.132481870850426;0.727976550207528;0.4302292105;0 days 00:00:02.175602044
MEOMI;0.0583557264786434;0.604890431856362;0.3316230791;0 days 00:01:36.521306850
MRNETB;0.237978560817596;0.898943321681207;0.5684609412;0 days 00:00:00.343562740
MRNET;0.254471834131936;0.890945685829222;0.5727087599;0 days 00:00:00.349352509
NARROMI;0.198457732576799;0.593821799681053;0.3961397661;0 days 00:00:09.104112552
PCACMI;0.340175418947489;0.93259915178203;0.6363872853;0 days 00:00:05.420474778
PCIT;0.00742296918767507;0.5;0.2537114845;0 days 00:00:09.032058824
PIDC;0.118862336283569;0.819104073096901;0.4689832046;0 days 00:00:07.972812639
PLSNET;0.200058148887028;0.81444233528837;0.5072502420;0 days 00:01:50.609369109
PUC;0.108210256707306;0.816489666170586;0.4623499614;0 days 00:00:07.371965528
RSNET;0.373247066702297;0.932628437399331;0.6529377520;0 days 00:00:09.035078934
