sim_BioGrid_Xenopus_laevis_mixed_exp;sim_BioGrid_Xenopus_laevis_mixed_exp;sim_BioGrid_Xenopus_laevis_mixed_exp;sim_BioGrid_Xenopus_laevis_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.146568089539309;0.664118616614217;0.405343353
BC3NET;0.0065516437110739;0.504851383356585;0.2557015135
C3NET;0.112203431962368;0.608763056327652;0.3604832441
CLR;0.13630299345948;0.761981764887538;0.4491423791
KBOOST;0.0207604416533324;0.544497977900335;0.2826292097
LEAP;0.0279193904508839;0.527243326007796;0.2775813582
MRNETB;0.14877081492507;0.764632219445326;0.4567015171
MRNET;0.156287228021119;0.764275140900474;0.4602811844
NARROMI;0.0215447027549604;0.510078000205063;0.2658113514
PCIT;0.0011806594221122;0.5;0.2505903297
PIDC;0.0670958388974899;0.698161933961306;0.3826288864
PUC;0.0682315549371032;0.69228281196777;0.3802571834
RSNET;0.171146519439932;0.790036661134466;0.4805915902
BEST_GENECI;0.146402118956572;0.783853242063709;0.4651276805101405
MEDIAN_GENECI;0.119505369558446;0.723199767343059;0.4213525684507525
MEAN;0.114667755036621;0.721181178364956;0.4179244667007885
MEDIAN;0.154688091615823;0.750232723826413;0.452460407721118
