sim_BioGrid_Xenopus_laevis_mixed_exp;sim_BioGrid_Xenopus_laevis_mixed_exp;sim_BioGrid_Xenopus_laevis_mixed_exp;sim_BioGrid_Xenopus_laevis_mixed_exp;sim_BioGrid_Xenopus_laevis_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.146568089539309;0.664118616614217;0.4053433530;0 days 00:00:36.091699057
BC3NET;0.00655164371107393;0.504851383356585;0.2557015135;0 days 02:03:03.481951597
C3NET;0.112203431962368;0.608763056327652;0.3604832441;0 days 00:01:43.644636312
CLR;0.13630299345948;0.761981764887538;0.4491423791;0 days 00:00:30.682962428
KBOOST;0.0207604416533324;0.544497977900335;0.2826292097;0 days 02:34:12.536756277
LEAP;0.0279193904508839;0.527243326007796;0.2775813582;0 days 00:18:22.232730954
MRNETB;0.14877081492507;0.764632219445326;0.4567015171;0 days 00:00:56.248000716
MRNET;0.156287228021119;0.764275140900474;0.4602811844;0 days 00:00:40.713644859
NARROMI;0.0215447027549604;0.510078000205063;0.2658113514;0 days 00:06:01.959041952
PCIT;0.00118065942211222;0.5;0.2505903297;0 days 00:04:46.497059982
PIDC;0.0670958388974899;0.698161933961306;0.3826288864;0 days 00:35:02.062112472
PUC;0.0682315549371032;0.69228281196777;0.3802571834;0 days 00:34:25.931328218
RSNET;0.171146519439932;0.790036661134466;0.4805915902;0 days 00:04:59.115612624
