sim_GRNdb_Adult-Adipose_mixed_exp;sim_GRNdb_Adult-Adipose_mixed_exp;sim_GRNdb_Adult-Adipose_mixed_exp;sim_GRNdb_Adult-Adipose_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.359712483128962;0.854438557499547;0.6070755203
BC3NET;0.376818434319707;0.847486068154298;0.6121522512
C3NET;0.294908459427482;0.784357957181999;0.5396332083
CLR;0.343161915928579;0.912046459963532;0.6276041879
KBOOST;0.0030585202808125;0.614574544753542;0.3088165325
LEAP;0.0244362424011475;0.558486104449423;0.2914611734
MRNETB;0.152131911963663;0.913750677720496;0.5329412948
MRNET;0.23784207461928;0.91437576070729;0.5761089176
NARROMI;0.0474077433903839;0.523352099541345;0.2853799214
PCIT;0.0013377376138552;0.5;0.2506688688
PIDC;0.0866678546353163;0.858186259067616;0.4724270568
PUC;0.0617818948388228;0.860555492829152;0.4611686938
RSNET;0.202990594297693;0.909436723111333;0.5562136587
BEST_GENECI;0.383305068136382;0.913296088453233;0.6483005782948075
MEDIAN_GENECI;0.314450757506571;0.910876738209722;0.6126637478581465
MEAN;0.266353490684367;0.892360316556702;0.5793569036205345
MEDIAN;0.265071292815524;0.906370469711119;0.5857208812633214
