sim_GRNdb_Adult-Ascending-Colon_mixed_exp;sim_GRNdb_Adult-Ascending-Colon_mixed_exp;sim_GRNdb_Adult-Ascending-Colon_mixed_exp;sim_GRNdb_Adult-Ascending-Colon_mixed_exp;sim_GRNdb_Adult-Ascending-Colon_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.190830173999289;0.794639428523699;0.4927348012;0 days 00:00:16.575336922
BC3NET;0.239779516511298;0.801745550531012;0.5207625335;0 days 00:46:13.068518363
C3NET;0.161979046161395;0.748287880482048;0.4551334633;0 days 00:00:54.311031091
CLR;0.281558285320472;0.878505152295022;0.5800317188;0 days 00:00:14.868342641
KBOOST;0.00178099702161471;0.556620054166698;0.2792005255;0 days 00:54:29.547280611
LEAP;0.00883719466687537;0.539789968548315;0.2743135816;0 days 00:06:56.608709006
MRNETB;0.0390701188785939;0.877838146435426;0.4584541326;0 days 00:00:25.181051589
MRNET;0.0812642613869286;0.879659388134487;0.4804618247;0 days 00:00:17.063349263
NARROMI;0.0327529369226433;0.51788489143383;0.2753189141;0 days 00:03:36.521796960
PCIT;0.00104194182736051;0.5;0.2505209709;0 days 00:01:39.309109224
PIDC;0.0286814813125001;0.837057372111148;0.4328694267;0 days 00:12:43.490725487
PUC;0.0213593832343775;0.860552152016367;0.4409557676;0 days 00:12:22.031195261
RSNET;0.056152817422723;0.890524912488896;0.4733388649;0 days 00:02:18.066207240
