sim_GRNdb_Adult-Epityphlon_mixed_exp;sim_GRNdb_Adult-Epityphlon_mixed_exp;sim_GRNdb_Adult-Epityphlon_mixed_exp;sim_GRNdb_Adult-Epityphlon_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.414089274971557;0.837823160113519;0.6259562175
BC3NET;0.397237306246036;0.826452948297796;0.6118451272
C3NET;0.351677316842135;0.778722480946628;0.5651998988
CLR;0.338945663567493;0.900909704629772;0.619927684
KBOOST;0.0019066434858697;0.632011078591049;0.316958861
LEAP;0.0107321089443444;0.557515246394264;0.2841236776
MRNETB;0.059879470457943;0.900443104877765;0.4801612876
MRNET;0.14925144331676;0.902521916432976;0.5258866798
NARROMI;0.048952111426615;0.523963901631255;0.2864580065
PCIT;0.0010933699962257;0.5;0.2505466849
PIDC;0.0443829098173368;0.86305918064722;0.4537210452
PUC;0.0430380571956538;0.868065376079435;0.4555517166
RSNET;0.0829924089736003;0.90267377228464;0.4928330906
BEST_GENECI;0.320713360687587;0.905971199812123;0.613342280249855
MEDIAN_GENECI;0.251091917262318;0.906933253821908;0.579012585542113
MEAN;0.235007773883092;0.890471726588279;0.5627397502356855
MEDIAN;0.184263684911929;0.891843102635322;0.5380533937736255
