sim_GRNdb_Adult-Epityphlon_mixed_exp;sim_GRNdb_Adult-Epityphlon_mixed_exp;sim_GRNdb_Adult-Epityphlon_mixed_exp;sim_GRNdb_Adult-Epityphlon_mixed_exp;sim_GRNdb_Adult-Epityphlon_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.414089274971557;0.837823160113519;0.6259562175;0 days 00:00:35.023721504
BC3NET;0.397237306246036;0.826452948297796;0.6118451272;0 days 01:56:47.591056792
C3NET;0.351677316842135;0.778722480946628;0.5651998988;0 days 00:01:40.312691891
CLR;0.338945663567493;0.900909704629772;0.6199276840;0 days 00:00:31.058169213
KBOOST;0.00190664348586977;0.632011078591049;0.3169588610;0 days 02:27:43.808675193
LEAP;0.0107321089443444;0.557515246394264;0.2841236776;0 days 00:16:20.729395105
MRNETB;0.059879470457943;0.900443104877765;0.4801612876;0 days 00:00:55.668183783
MRNET;0.14925144331676;0.902521916432976;0.5258866798;0 days 00:00:39.715086165
NARROMI;0.048952111426615;0.523963901631255;0.2864580065;0 days 00:08:29.179640257
PCIT;0.0010933699962257;0.5;0.2505466849;0 days 00:04:22.960091473
PIDC;0.0443829098173368;0.86305918064722;0.4537210452;0 days 00:33:54.122377042
PUC;0.0430380571956538;0.868065376079435;0.4555517166;0 days 00:32:53.555858504
RSNET;0.0829924089736003;0.90267377228464;0.4928330906;0 days 00:05:40.231611186
