sim_GRNdb_Adult-Liver_mixed_exp;sim_GRNdb_Adult-Liver_mixed_exp;sim_GRNdb_Adult-Liver_mixed_exp;sim_GRNdb_Adult-Liver_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.261899254530582;0.829410701055642;0.5456549777
BC3NET;0.294437793662239;0.814219135017526;0.5543284643
C3NET;0.209849892356901;0.759028718478421;0.4844393054
CLR;0.272037430325495;0.90402913869881;0.5880332845
KBOOST;0.0019671517674554;0.626909813833117;0.3144384828
LEAP;0.0081930130935417;0.569223606739177;0.2887083099
MRNETB;0.0288748525631067;0.899031600686221;0.4639532266
MRNET;0.0733606534710835;0.903931083507571;0.4886458684
NARROMI;0.0453666508979612;0.52369215207498;0.2845294014
PCIT;0.0010818093558677;0.5;0.2505409046
PIDC;0.0618383626115933;0.848626555828976;0.4552324592
PUC;0.0218912504904909;0.849377960322019;0.4356346054
RSNET;0.0397808030430863;0.883669039485401;0.4617249212
BEST_GENECI;0.263005913697977;0.904159533438897;0.583582723568437
MEDIAN_GENECI;0.201331324168344;0.900413170269807;0.5508722472190756
MEAN;0.15937695924454;0.878311623485815;0.5188442913651775
MEDIAN;0.0812201236649625;0.897092495181609;0.4891563094232858
