sim_GRNdb_Adult-Liver_mixed_exp;sim_GRNdb_Adult-Liver_mixed_exp;sim_GRNdb_Adult-Liver_mixed_exp;sim_GRNdb_Adult-Liver_mixed_exp;sim_GRNdb_Adult-Liver_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.261899254530582;0.829410701055642;0.5456549777;0 days 00:00:21.551225432
BC3NET;0.294437793662239;0.814219135017526;0.5543284643;0 days 01:04:35.641841323
C3NET;0.209849892356901;0.759028718478421;0.4844393054;0 days 00:01:07.632919851
CLR;0.272037430325495;0.90402913869881;0.5880332845;0 days 00:00:19.082522907
KBOOST;0.00196715176745549;0.626909813833117;0.3144384828;0 days 01:18:04.206942941
LEAP;0.00819301309354178;0.569223606739177;0.2887083099;0 days 00:09:00.403059234
MRNETB;0.0288748525631067;0.899031600686221;0.4639532266;0 days 00:00:33.395239555
MRNET;0.0733606534710835;0.903931083507571;0.4886458684;0 days 00:00:23.167563852
NARROMI;0.0453666508979612;0.52369215207498;0.2845294014;0 days 00:06:53.472676166
PCIT;0.00108180935586773;0.5;0.2505409046;0 days 00:02:20.044018322
PIDC;0.0618383626115933;0.848626555828976;0.4552324592;0 days 00:18:10.578215790
PUC;0.0218912504904909;0.849377960322019;0.4356346054;0 days 00:17:39.133069041
RSNET;0.0397808030430863;0.883669039485401;0.4617249212;0 days 00:03:49.915351327
