sim_GRNdb_Adult-Lung_mixed_exp;sim_GRNdb_Adult-Lung_mixed_exp;sim_GRNdb_Adult-Lung_mixed_exp;sim_GRNdb_Adult-Lung_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.181633496120694;0.740257640683945;0.4609455684
BC3NET;0.215064808197614;0.746754506737541;0.4809096574
C3NET;0.137054669189528;0.68534633591073;0.4112005025
CLR;0.195393153335037;0.912480140418316;0.5539366468
KBOOST;0.0029215423445825;0.628918419768025;0.315919981
LEAP;0.0147048494780741;0.600281026858157;0.3074929381
MRNETB;0.0360153166566267;0.907610340750194;0.4718128287
MRNET;0.0794462609687443;0.913161248761716;0.4963037548
NARROMI;0.0765627507015803;0.538462742897885;0.3075127467
PCIT;0.0018310164133212;0.5;0.2509155082
PIDC;0.0559877401555746;0.847315184732805;0.4516514624
PUC;0.0302370821683617;0.862869867792501;0.4465534749
RSNET;0.0554969107425211;0.914698798871563;0.4850978548
BEST_GENECI;0.211510445232309;0.908350098254132;0.5599302717432205
MEDIAN_GENECI;0.160406936339728;0.909595798148941;0.5350013672443344
MEAN;0.138630307767359;0.874633712012962;0.5066320098901606
MEDIAN;0.0780921020613992;0.89478316381973;0.4864376329405646
