sim_GRNdb_Adult-Lung_mixed_exp;sim_GRNdb_Adult-Lung_mixed_exp;sim_GRNdb_Adult-Lung_mixed_exp;sim_GRNdb_Adult-Lung_mixed_exp;sim_GRNdb_Adult-Lung_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.181633496120694;0.740257640683945;0.4609455684;0 days 00:00:15.477888375
BC3NET;0.215064808197614;0.746754506737541;0.4809096574;0 days 00:41:52.053766644
C3NET;0.137054669189528;0.68534633591073;0.4112005025;0 days 00:00:50.815478818
CLR;0.195393153335037;0.912480140418316;0.5539366468;0 days 00:00:14.308179343
KBOOST;0.00292154234458252;0.628918419768025;0.3159199810;0 days 00:48:51.250606973
LEAP;0.0147048494780741;0.600281026858157;0.3074929381;0 days 00:06:10.039694980
MRNETB;0.0360153166566267;0.907610340750194;0.4718128287;0 days 00:00:23.738922986
MRNET;0.0794462609687443;0.913161248761716;0.4963037548;0 days 00:00:15.946650737
NARROMI;0.0765627507015803;0.538462742897885;0.3075127467;0 days 00:08:23.033054889
PCIT;0.00183101641332121;0.5;0.2509155082;0 days 00:01:33.389923616
PIDC;0.0559877401555746;0.847315184732805;0.4516514624;0 days 00:11:08.273837166
PUC;0.0302370821683617;0.862869867792501;0.4465534749;0 days 00:10:34.218460070
RSNET;0.0554969107425211;0.914698798871563;0.4850978548;0 days 00:03:06.627661612
