sim_GRNdb_Adult-Muscle_mixed_exp;sim_GRNdb_Adult-Muscle_mixed_exp;sim_GRNdb_Adult-Muscle_mixed_exp;sim_GRNdb_Adult-Muscle_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.257396938270226;0.824808007336745;0.5411024728
BC3NET;0.281095023153835;0.808636659807792;0.5448658414
C3NET;0.220455027407428;0.768397208364858;0.4944261178
CLR;0.300243771605033;0.876490647988998;0.5883672097
KBOOST;0.0025311987331726;0.597673341561596;0.3001022701
LEAP;0.0203446111609319;0.557353792747759;0.2888492019
MRNETB;0.0855663222526092;0.875345321463663;0.4804558218
MRNET;0.180755531772327;0.876743695630193;0.5287496137
NARROMI;0.0463611248374547;0.524856548024261;0.2856088364
PCIT;0.0011611621010461;0.5;0.250580581
PIDC;0.0746057412563973;0.854892831326689;0.4647492862
PUC;0.0584563172572486;0.851419864729912;0.4549380909
RSNET;0.0919112663270065;0.870436449970163;0.4811738581
BEST_GENECI;0.293101519442966;0.885035003463249;0.5890682614531075
MEDIAN_GENECI;0.237906426635772;0.876490521299425;0.5571984739675985
MEAN;0.224339102659169;0.874308685090065;0.549323893874617
MEDIAN;0.180880413651204;0.870603993762937;0.5257422037070705
