sim_GRNdb_Adult-Muscle_mixed_exp;sim_GRNdb_Adult-Muscle_mixed_exp;sim_GRNdb_Adult-Muscle_mixed_exp;sim_GRNdb_Adult-Muscle_mixed_exp;sim_GRNdb_Adult-Muscle_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.257396938270226;0.824808007336745;0.5411024728;0 days 00:00:17.605943785
BC3NET;0.281095023153835;0.808636659807792;0.5448658414;0 days 00:49:23.794395895
C3NET;0.220455027407428;0.768397208364858;0.4944261178;0 days 00:00:57.328697136
CLR;0.300243771605033;0.876490647988998;0.5883672097;0 days 00:00:15.476049402
KBOOST;0.00253119873317267;0.597673341561596;0.3001022701;0 days 00:57:57.430086913
LEAP;0.0203446111609319;0.557353792747759;0.2888492019;0 days 00:06:48.553553673
MRNETB;0.0855663222526092;0.875345321463663;0.4804558218;0 days 00:00:26.356919926
MRNET;0.180755531772327;0.876743695630193;0.5287496137;0 days 00:00:17.934468549
NARROMI;0.0463611248374547;0.524856548024261;0.2856088364;0 days 00:03:51.697686343
PCIT;0.00116116210104614;0.5;0.2505805810;0 days 00:01:49.505906417
PIDC;0.0746057412563973;0.854892831326689;0.4647492862;0 days 00:13:32.312606668
PUC;0.0584563172572486;0.851419864729912;0.4549380909;0 days 00:13:13.471575603
RSNET;0.0919112663270065;0.870436449970163;0.4811738581;0 days 00:02:30.216822165
