sim_GRNdb_Adult-Pancreas_mixed_exp;sim_GRNdb_Adult-Pancreas_mixed_exp;sim_GRNdb_Adult-Pancreas_mixed_exp;sim_GRNdb_Adult-Pancreas_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.423309408769058;0.855275162703055;0.6392922857
BC3NET;0.399889985582953;0.834415133053764;0.6171525593
C3NET;0.3637596710451;0.797854434252498;0.5808070526
CLR;0.337085220474206;0.913965029917063;0.6255251251
KBOOST;0.0028442833236365;0.67637201506374;0.3396081491
LEAP;0.0371525675084058;0.5797630798133;0.3084578236
MRNETB;0.130724759365497;0.918689669692243;0.5247072145
MRNET;0.265970372772356;0.920095363873916;0.5930328683
NARROMI;0.0561168459701094;0.527435500358884;0.2917761731
PCIT;0.0015873522496356;0.5;0.2507936761
PIDC;0.0967304583757743;0.863211468098833;0.4799709632
PUC;0.0934810844043276;0.866748010456735;0.4801145474
RSNET;0.155522051762883;0.91272162126322;0.5341218365
BEST_GENECI;0.379190496602642;0.914719047972289;0.6469547722874655
MEDIAN_GENECI;0.31525221374235;0.910803770342535;0.6130279920424425
MEAN;0.293621570248521;0.888127220380759;0.59087439531464
MEDIAN;0.267282757768803;0.913806279726004;0.5905445187474035
