sim_GRNdb_Adult-Pancreas_mixed_exp;sim_GRNdb_Adult-Pancreas_mixed_exp;sim_GRNdb_Adult-Pancreas_mixed_exp;sim_GRNdb_Adult-Pancreas_mixed_exp;sim_GRNdb_Adult-Pancreas_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.423309408769058;0.855275162703055;0.6392922857;0 days 00:00:10.489679489
BC3NET;0.399889985582953;0.834415133053764;0.6171525593;0 days 00:30:27.642606968
C3NET;0.3637596710451;0.797854434252498;0.5808070526;0 days 00:00:38.996740317
CLR;0.337085220474206;0.913965029917063;0.6255251251;0 days 00:00:09.640918005
KBOOST;0.00284428332363653;0.67637201506374;0.3396081491;0 days 00:34:19.518541461
LEAP;0.0371525675084058;0.5797630798133;0.3084578236;0 days 00:04:45.940121455
MRNETB;0.130724759365497;0.918689669692243;0.5247072145;0 days 00:00:16.472011252
MRNET;0.265970372772356;0.920095363873916;0.5930328683;0 days 00:00:10.759092545
NARROMI;0.0561168459701094;0.527435500358884;0.2917761731;0 days 00:02:13.959144612
PCIT;0.00158735224963561;0.5;0.2507936761;0 days 00:01:06.292415687
PIDC;0.0967304583757743;0.863211468098833;0.4799709632;0 days 00:07:59.810785218
PUC;0.0934810844043276;0.866748010456735;0.4801145474;0 days 00:07:50.781812551
RSNET;0.155522051762883;0.91272162126322;0.5341218365;0 days 00:01:43.360240104
